"Time stamp","Value","Events","Comment","User"
"2022/03/08 16:30:00","12 733 098,64","","",""
"2022/03/08 16:00:00","12 732 878,75","","",""
"2022/03/08 15:30:00","12 732 659,23","","",""
"2022/03/08 15:00:00","12 732 438,38","","",""
"2022/03/08 14:30:00","12 732 218,25","","",""
"2022/03/08 14:00:00","12 731 997,34","","",""
"2022/03/08 13:30:00","12 731 776,88","","",""
"2022/03/08 13:00:00","12 731 556,55","","",""
"2022/03/08 12:30:00","12 731 336,09","","",""
"2022/03/08 12:00:00","12 731 116,15","","",""
"2022/03/08 11:30:00","12 730 895,42","","",""
"2022/03/08 11:00:00","12 730 675,14","","",""
"2022/03/08 10:30:00","12 730 455,28","","",""
"2022/03/08 10:00:00","12 730 234,00","","",""
"2022/03/08 09:30:00","12 730 013,98","","",""
"2022/03/08 09:00:00","12 729 793,10","","",""
"2022/03/08 08:30:00","12 729 573,09","","",""
"2022/03/08 08:00:00","12 729 352,99","","",""
"2022/03/08 07:30:00","12 729 132,78","","",""
"2022/03/08 07:00:00","12 728 913,63","","",""
"2022/03/08 06:30:00","12 728 694,41","","",""
"2022/03/08 06:00:00","12 728 476,16","","",""
"2022/03/08 05:30:00","12 728 257,71","","",""
"2022/03/08 05:00:00","12 728 039,75","","",""
"2022/03/08 04:30:00","12 727 820,75","","",""
"2022/03/08 04:00:00","12 727 602,48","","",""
"2022/03/08 03:30:00","12 727 384,36","","",""
"2022/03/08 03:00:00","12 727 165,25","","",""
"2022/03/08 02:30:00","12 726 946,70","","",""
"2022/03/08 02:00:00","12 726 727,75","","",""
"2022/03/08 01:30:00","12 726 509,56","","",""
"2022/03/08 01:00:00","12 726 290,39","","",""
"2022/03/08 00:30:00","12 726 071,43","","",""
"2022/03/08 00:00:00","12 725 853,06","","",""
"2022/03/07 23:30:00","12 725 633,58","","",""
"2022/03/07 23:00:00","12 725 414,17","","",""
"2022/03/07 22:30:00","12 725 193,57","","",""
"2022/03/07 22:00:00","12 724 973,53","","",""
"2022/03/07 21:30:00","12 724 753,42","","",""
"2022/03/07 21:00:00","12 724 532,87","","",""
"2022/03/07 20:30:00","12 724 312,19","","",""
"2022/03/07 20:00:00","12 724 091,61","","",""
"2022/03/07 19:30:00","12 723 871,73","","",""
"2022/03/07 19:00:00","12 723 651,04","","",""
"2022/03/07 18:30:00","12 723 431,19","","",""
"2022/03/07 18:00:00","12 723 210,52","","",""
"2022/03/07 17:30:00","12 722 991,06","","",""
"2022/03/07 17:00:00","12 722 770,56","","",""
"2022/03/07 16:30:00","12 722 550,43","","",""
"2022/03/07 16:00:00","12 722 330,24","","",""
"2022/03/07 15:30:00","12 722 110,11","","",""
"2022/03/07 15:00:00","12 721 889,74","","",""
"2022/03/07 14:30:00","12 721 669,56","","",""
"2022/03/07 14:00:00","12 721 449,12","","",""
"2022/03/07 13:30:00","12 721 229,29","","",""
"2022/03/07 13:00:00","12 721 008,09","","",""
"2022/03/07 12:30:00","12 720 788,14","","",""
"2022/03/07 12:00:00","12 720 567,26","","",""
"2022/03/07 11:30:00","12 720 346,82","","",""
"2022/03/07 11:00:00","12 720 126,21","","",""
"2022/03/07 10:30:00","12 719 905,87","","",""
"2022/03/07 10:00:00","12 719 685,42","","",""
"2022/03/07 09:30:00","12 719 465,16","","",""
"2022/03/07 09:00:00","12 719 244,55","","",""
"2022/03/07 08:30:00","12 719 024,38","","",""
"2022/03/07 08:00:00","12 718 804,77","","",""
"2022/03/07 07:30:00","12 718 585,36","","",""
"2022/03/07 07:00:00","12 718 365,02","","",""
"2022/03/07 06:30:00","12 718 146,78","","",""
"2022/03/07 06:00:00","12 717 927,37","","",""
"2022/03/07 05:30:00","12 717 709,44","","",""
"2022/03/07 05:00:00","12 717 489,93","","",""
"2022/03/07 04:30:00","12 717 271,83","","",""
