Timestamp;C_TEM2.TEM2A_GenController#Real Energy Into the Load#kWh;C_TEM2.TEM2B_GenController#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_CCL_UPS_System_A#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_CCL_UPS_System_B#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_CCL_UPS_System_C#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_Generator_A_Supply#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_Generator_B_Supply#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_Generator_C_Supply#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_HVAC_System_A#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_HVAC_System_B#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_HVAC_System_C#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_Main_Incomer_HT#Real Energy Into the Load#kWh;CT1_TEM1_Old.C_DC_1_UPS_A_Output#Real Energy Into the Load#kWh;CT1_TEM1_Old.C_DC_1_UPS_B_Output#Real Energy Into the Load#kWh;CT1_TEM1_Old.C_TEM_1_MDB_Generator_8240#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_DB_UPS_A3#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_DB_UPS_B3#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_HVAC_A_Supply#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_HVAC_B_Supply#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_MLV_A#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_MLV_A_UPS#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_MLV_B#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_MLV_B_UPS#Real Energy Into the Load#kWh
2022/01/01 00:15;172824,7;151034,9;835961,3125;449221,9063;956085,0625;21353,2168;21641,46094;24572,74414;615406,533;781699,879;437925,418;4208836,5;;;;3897191,158;2741817,848;3919814,803;2300303,21;22682528,15;;16191752,84;
2022/01/01 00:30;172824,7;151034,9;836001,1875;449251,2188;956128,8125;21353,2168;21641,46094;24572,74414;615438,433;781739,496;437952,743;4209057;;;;3897213,281;2741829,916;3919844,788;2300323,245;22682704,57;420506,135;16191872,25;
2022/01/01 00:45;172824,7;151034,9;836041,0625;449280,5;956172,5625;21353,2168;21641,46094;24572,74414;615471,484;781778,646;437980,359;4209276,5;;;;3897234,974;2741843,471;3919877,115;2300345,427;22682879,65;;16191986,95;
2022/01/01 01:00;172824,7;151034,9;836080,875;449309,7813;956216,25;21353,2168;21641,46094;24572,74414;615504,257;781816,355;438007,873;4209496;;;;3897256,654;2741855,562;3919915,854;2300366,313;22683058,25;420509,347;16192125,48;
2022/01/01 01:15;172824,7;151034,9;836120,6875;449339,125;956259,8125;21353,2168;21641,46094;24572,74414;615537,659;781854,199;438035,719;4209715,5;;;;3897278,325;2741867,489;3919946,123;2300386,439;22683226,36;;16192242,41;
2022/01/01 01:30;172824,7;151034,9;836160,4375;449368,4375;956303,3125;21353,2168;21641,46094;24572,74414;615571,125;781893,431;438062,835;4209936;;;;3897303,977;2741879,22;3919976,194;2300404,827;22683427,32;420512,424;16192356,45;
2022/01/01 01:45;172824,7;151034,9;836200,0625;449397,7813;956346,6875;21353,2168;21641,46094;24572,74414;615604,016;781932,098;438090,558;4210156,5;;;;3897325,491;2741891,025;3920008,023;2300423,407;22683597,92;;16192474,53;
2022/01/01 02:00;172824,7;151034,9;836239,625;449427,1563;956389,9375;21353,2168;21641,46094;24572,74414;615636,334;781970,883;438118,199;4210375,5;;;;3897347,594;2741904,455;3920043,461;2300441,702;22683772,7;420515,475;16192592,55;
2022/01/01 02:15;172824,7;151034,9;836279,25;449456,5313;956433,1875;21353,2168;21641,46094;24572,74414;615667,676;782009,568;438145,703;4210593;;;;3897369,634;2741916,205;3920075,552;2300462,675;22683945,92;;16192724,68;
2022/01/01 02:30;172824,7;151034,9;836318,75;449485,9375;956476,25;21353,2168;21641,46094;24572,74414;615701,05;782047,258;438172,844;4210811,5;;;;3897393,903;2741928,247;3920109,541;2300482,071;22684119,92;420518,749;16192842,58;
2022/01/01 02:45;172824,7;151034,9;836358,1875;449515,3438;956519,25;21353,2168;21641,46094;24572,74414;615734,285;782086,323;438200,423;4211030,5;;;;3897415,185;2741940,087;3920141,24;2300500,358;22684316,68;;16192959,32;
2022/01/01 03:00;172824,7;151034,9;836397,5;449544,7813;956562,125;21353,2168;21641,46094;24572,74414;615767,644;782125,789;438228,056;4211251,5;;;;3897436,728;2741952,02;3920174,858;2300519,254;22684497,44;420521,742;16193079,92;
