Timestamp;CT2_TEM1.CT2_TEM1A_Generator#Real Energy Into the Load#kWh;CT2_TEM1.CT2_TEM1B_Generator#Real Energy Into the Load#kWh;CT2_TEM1.CT2_TEM1C_Generator#Real Energy Into the Load#kWh;CT2_TEM1.CT2_TEM1D_Generator#Real Energy Into the Load#kWh;CT2_TEM1.CT2_TEM1E_Generator#Real Energy Into the Load#kWh;CT2_TEM1_A.CCL_A_Meter#Real Energy Into the Load#kWh;CT2_TEM1_A.GCL_A_Meter#Real Energy Into the Load#kWh;CT2_TEM1_A.HVAC_System_A_Meter#Real Energy Into the Load#kWh;CT2_TEM1_A.MLV_A_Bus__Load#Real Energy Into the Load#kWh;CT2_TEM1_B.CCL_B_Meter#Real Energy Into the Load#kWh;CT2_TEM1_B.GCL_B_Meter#Real Energy Into the Load#kWh;CT2_TEM1_B.HVAC_System_B_Meter#Real Energy Into the Load#kWh;CT2_TEM1_B.MLV_B_Bus__Load#Real Energy Into the Load#kWh;CT2_TEM1_C.CCL_E_Meter#Real Energy Into the Load#kWh;CT2_TEM1_C.GCL_C_Meter#Real Energy Into the Load#kWh;CT2_TEM1_C.HVAC_System_C_Meter#Real Energy Into the Load#kWh;CT2_TEM1_C.MLV_C_Bus__Load#Real Energy Into the Load#kWh;CT2_TEM1_D.CCL_D_Meter#Real Energy Into the Load#kWh;CT2_TEM1_D.GCL_D_Meter#Real Energy Into the Load#kWh;CT2_TEM1_D.HVAC_System_D_Meter#Real Energy Into the Load#kWh;CT2_TEM1_D.MLV_D_Bus_Load#Real Energy Into the Load#kWh;CT2_TEM1_E.CCL_E_Meter#Real Energy Into the Load#kWh;CT2_TEM1_E.GCL_E_Meter#Real Energy Into the Load#kWh;CT2_TEM1_E.HVAC_System_E_Meter#Real Energy Into the Load#kWh;CT2_TEM1_E.MLV_E_Bus_Load#Real Energy Into the Load#kWh;CT2_TEM2.CT2_TEM2A_Generator#Real Energy Into the Load#kWh;CT2_TEM2.CT2_TEM2B_Generator#Real Energy Into the Load#kWh;CT2_TEM2.CT2_TEM2C_Generator#Real Energy Into the Load#kWh;CT2_TEM2.CT2_TEM2D_Generator#Real Energy Into the Load#kWh;CT2_TEM2.CT2_TEM2E_Generator#Real Energy Into the Load#kWh;CT2_TEM2_A.CCL_A_Meter#Real Energy Into the Load#kWh;CT2_TEM2_A.GCL_A_Meter#Real Energy Into the Load#kWh;CT2_TEM2_A.HVAC_System_A_Meter#Real Energy Into the Load#kWh;CT2_TEM2_A.MLV_A_Bus_Load#Real Energy Into the Load#kWh;CT2_TEM2_B.CCL_B_Meter#Real Energy Into the Load#kWh;CT2_TEM2_B.GCL_B_Meter#Real Energy Into the Load#kWh;CT2_TEM2_B.HVAC_System_B_Meter#Real Energy Into the Load#kWh;CT2_TEM2_B.MLV_B_Bus_Load#Real Energy Into the Load#kWh;CT2_TEM2_C.CCL_C_Meter#Real Energy Into the Load#kWh;CT2_TEM2_C.GCL_C_Meter#Real Energy Into the Load#kWh;CT2_TEM2_C.HVAC_System_C_Meter#Real Energy Into the Load#kWh;CT2_TEM2_C.MLV_C_Bus_Load#Real Energy Into the Load#kWh;CT2_TEM2_D.CCL_D_Meter#Real Energy Into the Load#kWh;CT2_TEM2_D.GCL_D_Meter#Real Energy Into the Load#kWh;CT2_TEM2_D.HVAC_System_D_Meter#Real Energy Into the Load#kWh;CT2_TEM2_D.MLV_D_Bus_Load#Real Energy Into the Load#kWh;CT2_TEM2_E.CCL_E_Meter#Real Energy Into the Load#kWh;CT2_TEM2_E.GCL_E_Meter#Real Energy Into the Load#kWh;CT2_TEM2_E.HVAC_System_E_Meter#Real Energy Into the Load#kWh;CT2_TEM2_E.MLV_E_Bus_Load#Real Energy Into the Load#kWh
2022/01/01 00:15;42782,9;42884,1;61131,5;52450,1;48686,3;115070,3125;38217,89453;31781,506;236331,8594;108663,1953;33030,19922;10743,354;206854,9063;68611,1875;40553,20703;25822,679;193853,4063;133641,5938;36107,37891;10960,509;236201,1875;111032,9297;36536,16016;24810,062;230990,7344;53121,6;84091,7;58565,3;63728,5;62486,7;210188,7656;61081,75391;23467,236;369255,3438;178131,7344;46937,8125;34622,058;348501,7813;166024,7031;62153,40625;25775,192;333171,0313;171534,6563;46781,9375;57451,921;441939,625;149426,4688;35447,79688;8393,07;268100,7813
2022/01/01 00:30;42782,9;42884,1;61131,5;52450,1;48686,3;115070,8281;38220,36328;31781,88;236338,9844;108663,8203;33030,5625;10743,725;206858,7656;68611,51563;40556,32422;25827,563;193865,5;133642,0625;36109,10938;10960,801;236207,1563;111033,2734;36536,48828;24810,274;230994,0625;53121,6;84091,7;58565,3;63728,5;62486,7;210191,3125;61083,80078;23467,823;369262,8125;178136,8438;46940,35156;34622,7;348514,8438;166028,75;62155,55859;25775,56;333181,3438;171538,5625;46782,15234;57452,309;441949,3125;149426,9063;35448,78516;8393,864;268107,3438
2022/01/01 00:45;42782,9;42884,1;61131,5;52450,1;48686,3;115071,3438;38222,83203;31782,252;236346,1094;108664,4453;33030,92578;10744,098;206862,6094;68611,84375;40558,33984;25831,942;193875,9688;133642,5469;36110,83984;10961,026;236211,9531;111033,6094;36536,82031;24810,737;230998,9219;53121,6;84091,7;58565,3;63728,5;62486,7;210193,8594;61085,84375;23468,405;369270,625;178141,9375;46942,88672;34623,306;348527,4063;166032,8125;62157,70313;25775,924;333192,4063;171542,4688;46782,41797;57452,698;441958,7188;149427,3438;35449,77344;8394,723;268113,5313
2022/01/01 01:00;42782,9;42884,1;61131,5;52450,1;48686,3;115071,8594;38225,29688;31782,487;236351,7031;108665,0781;33031,28906;10744,468;206867,6875;68612,17188;40560,27344;25836,628;193885,8906;133643,0156;36112,57031;10961,252;236216,7344;111033,9531;36537,14844;24811,133;231003,7031;53121,6;84091,7;58565,3;63728,5;62486,7;210196,4063;61087,88672;23468,88;369279,4375;178147,0313;46945,42188;34623,962;348539,125;166036,8594;62159,77344;25776,287;333204,1563;171546,3906;46782,70703;57452,984;441969,2188;149427,7656;35450,76172;8395,463;268121,0313
2022/01/01 01:15;42782,9;42884,1;61131,5;52450,1;48686,3;115072,375;38227,17969;31782,703;236356,9688;108665,7031;33031,65234;10744,838;206872,7813;68612,5;40562,20703;25841,516;193895,3438;133643,5;36113,81641;10961,475;236221,7656;111034,2891;36537,48047;24811,508;231007,7344;53121,6;84091,7;58565,3;63728,5;62486,7;210198,9688;61089,28516;23469,288;369287,5313;178152,1406;46947,96094;34624,517;348552,0625;166040,9063;62161,18359;25776,581;333215,0938;171550,2969;46782,99219;57453,21;441979,5938;149428,2031;35451,75;8396,335;268128,4375
2022/01/01 01:30;42782,9;42884,1;61131,5;52450,1;48686,3;115072,8906;38228,92578;31782,919;236363,2031;108666,3281;33032,01563;10745,207;206877,375;68612,82813;40564,13672;25845,664;193904,8125;133643,9688;36114,83984;10961,697;236227,2656;111034,6328;36537,80859;24811,886;231011,4219;53121,6;84091,7;58565,3;63728,5;62486,7;210201,5156;61090,60547;23469,696;369295,5625;178157,2344;46950,48828;34625,149;348565,0625;166044,9688;62162,59375;25776,776;333225,9063;171554,2031;46783,28125;57453,435;441988,625;149428,6406;35452,73828;8396,987;268134,875
2022/01/01 01:45;42782,9;42884,1;61131,5;52450,1;48686,3;115073,4063;38230,66797;31783,134;236369,4375;108666,9531;33032,375;10745,577;206881,0313;68613,15625;40566,07031;25850,061;193915,2031;133644,4531;36115,86328;10961,917;236232,7813;111034,9688;36538,14063;24812,264;231016,2031;53121,6;84091,7;58565,3;63728,5;62486,7;210204,0625;61091,92969;23470,102;369303,2813;178162,3281;46953,01563;34625,767;348576,6875;166049,0156;62164;25776,97;333236,0313;171558,1094;46783,56641;57453,66;441998,3438;149429,0781;35453,72656;8397,678;268141,1563
2022/01/01 02:00;42782,9;42884,1;61131,5;52450,1;48686,3;115073,9219;38232,41016;31783,348;236375,7031;108667,5781;33032,73828;10745,979;206885,6875;68613,48438;40568;25852,582;193923,7344;133644,9375;36116,88672;10962,135;236238,2969;111035,3125;36538,47266;24812,637;231020,9844;53121,6;84091,7;58565,3;63728,5;62486,7;210206,6094;61093,25391;23470,51;369309,875;178167,4375;46955,54688;34626,322;348589,5313;166053,0625;62165,41406;25777,16;333245,4688;171562,0313;46783,85547;57453,883;442008,7188;149429,5156;35454,71875;8398,248;268148,5313
2022/01/01 02:15;42782,9;42884,1;61131,5;52450,1;48686,3;115074,4375;38234,14844;31783,56;236381,9375;108668,2109;33033,10156;10746,508;206890,9375;68613,8125;40569,93359;25855,101;193932,2656;133645,4063;36117,91016;10962,352;236243,7969;111035,6484;36538,80469;24812,968;231024,7344;53121,6;84091,7;58565,3;63728,5;62486,7;210209,1719;61094,58203;23470,917;369316,4375;178172,5313;46958,07422;34626,965;348602,5313;166057,1094;62166,82422;25777,352;333255,6563;171565,9375;46784,14453;57454,105;442018,9063;149429,9375;35455,70703;8398,996;268155,875
2022/01/01 02:30;42782,9;42884,1;61131,5;52450,1;48686,3;115074,9531;38235,89063;31783,768;236387,6094;108668,8359;33033,46484;10747,036;206896,1875;68614,14063;40571,86328;25857,145;193939,4844;133645,875;36118,93359;10962,566;236249,2969;111035,9922;36539,13672;24813,171;231028,6875;53121,6;84091,7;58565,3;63728,5;62486,7;210211,7188;61095,91016;23471,324;369324,2813;178177,6406;46960,60547;34627,57;348615,0625;166061,1719;62168,23438;25777,546;333266,4688;171569,8438;46784,42969;57454,326;442027,7813;149430,375;35456,69531;8399,559;268162,7813
