,Name,Full Name,TEM,Type,Energy Flow
0,CT2_TEM1A_Generator,CT2_TEM1.CT2_TEM1A_Generator#Real Energy Into the Load#kWh,TEM1,Generator,Incoming
1,CT2_TEM1B_Generator,CT2_TEM1.CT2_TEM1B_Generator#Real Energy Into the Load#kWh,TEM1,Generator,Incoming
2,CT2_TEM1C_Generator,CT2_TEM1.CT2_TEM1C_Generator#Real Energy Into the Load#kWh,TEM1,Generator,Incoming
3,CT2_TEM1D_Generator,CT2_TEM1.CT2_TEM1D_Generator#Real Energy Into the Load#kWh,TEM1,Generator,Incoming
4,CT2_TEM1E_Generator,CT2_TEM1.CT2_TEM1E_Generator#Real Energy Into the Load#kWh,TEM1,Generator,Incoming
5,CCL_A_Meter,CT2_TEM1_A.CCL_A_Meter#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
6,GCL_A_Meter,CT2_TEM1_A.GCL_A_Meter#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
7,HVAC_System_A_Meter,CT2_TEM1_A.HVAC_System_A_Meter#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
8,MLV_A_Bus__Load,CT2_TEM1_A.MLV_A_Bus__Load#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
9,CCL_B_Meter,CT2_TEM1_B.CCL_B_Meter#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
10,GCL_B_Meter,CT2_TEM1_B.GCL_B_Meter#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
11,HVAC_System_B_Meter,CT2_TEM1_B.HVAC_System_B_Meter#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
12,MLV_B_Bus__Load,CT2_TEM1_B.MLV_B_Bus__Load#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
13,CCL_E_Meter,CT2_TEM1_C.CCL_E_Meter#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
14,GCL_C_Meter,CT2_TEM1_C.GCL_C_Meter#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
15,HVAC_System_C_Meter,CT2_TEM1_C.HVAC_System_C_Meter#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
16,MLV_C_Bus__Load,CT2_TEM1_C.MLV_C_Bus__Load#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
17,CCL_D_Meter,CT2_TEM1_D.CCL_D_Meter#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
18,GCL_D_Meter,CT2_TEM1_D.GCL_D_Meter#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
19,HVAC_System_D_Meter,CT2_TEM1_D.HVAC_System_D_Meter#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
20,MLV_D_Bus_Load,CT2_TEM1_D.MLV_D_Bus_Load#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
21,CCL_E_Meter,CT2_TEM1_E.CCL_E_Meter#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
22,GCL_E_Meter,CT2_TEM1_E.GCL_E_Meter#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
23,HVAC_System_E_Meter,CT2_TEM1_E.HVAC_System_E_Meter#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
24,MLV_E_Bus_Load,CT2_TEM1_E.MLV_E_Bus_Load#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
25,CT2_TEM2A_Generator,CT2_TEM2.CT2_TEM2A_Generator#Real Energy Into the Load#kWh,TEM2,Generator,Incoming
26,CT2_TEM2B_Generator,CT2_TEM2.CT2_TEM2B_Generator#Real Energy Into the Load#kWh,TEM2,Generator,Incoming
27,CT2_TEM2C_Generator,CT2_TEM2.CT2_TEM2C_Generator#Real Energy Into the Load#kWh,TEM2,Generator,Incoming
28,CT2_TEM2D_Generator,CT2_TEM2.CT2_TEM2D_Generator#Real Energy Into the Load#kWh,TEM2,Generator,Incoming
29,CT2_TEM2E_Generator,CT2_TEM2.CT2_TEM2E_Generator#Real Energy Into the Load#kWh,TEM2,Generator,Incoming
30,CCL_A_Meter,CT2_TEM2_A.CCL_A_Meter#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
31,GCL_A_Meter,CT2_TEM2_A.GCL_A_Meter#Real Energy Into the Load#kWh,TEM2,UPS,Outgoing
32,HVAC_System_A_Meter,CT2_TEM2_A.HVAC_System_A_Meter#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
33,MLV_A_Bus_Load,CT2_TEM2_A.MLV_A_Bus_Load#Real Energy Into the Load#kWh,TEM2,Mains,Incoming
34,CCL_B_Meter,CT2_TEM2_B.CCL_B_Meter#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
35,GCL_B_Meter,CT2_TEM2_B.GCL_B_Meter#Real Energy Into the Load#kWh,TEM2,UPS,Outgoing
36,HVAC_System_B_Meter,CT2_TEM2_B.HVAC_System_B_Meter#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
37,MLV_B_Bus_Load,CT2_TEM2_B.MLV_B_Bus_Load#Real Energy Into the Load#kWh,TEM2,Mains,Incoming
38,CCL_C_Meter,CT2_TEM2_C.CCL_C_Meter#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
39,GCL_C_Meter,CT2_TEM2_C.GCL_C_Meter#Real Energy Into the Load#kWh,TEM2,UPS,Outgoing
40,HVAC_System_C_Meter,CT2_TEM2_C.HVAC_System_C_Meter#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
41,MLV_C_Bus_Load,CT2_TEM2_C.MLV_C_Bus_Load#Real Energy Into the Load#kWh,TEM2,Mains,Incoming
42,CCL_D_Meter,CT2_TEM2_D.CCL_D_Meter#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
43,GCL_D_Meter,CT2_TEM2_D.GCL_D_Meter#Real Energy Into the Load#kWh,TEM2,UPS,Outgoing
44,HVAC_System_D_Meter,CT2_TEM2_D.HVAC_System_D_Meter#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
45,MLV_D_Bus_Load,CT2_TEM2_D.MLV_D_Bus_Load#Real Energy Into the Load#kWh,TEM2,Mains,Incoming
46,CCL_E_Meter,CT2_TEM2_E.CCL_E_Meter#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
47,GCL_E_Meter,CT2_TEM2_E.GCL_E_Meter#Real Energy Into the Load#kWh,TEM2,UPS,Outgoing
48,HVAC_System_E_Meter,CT2_TEM2_E.HVAC_System_E_Meter#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
49,MLV_E_Bus_Load,CT2_TEM2_E.MLV_E_Bus_Load#Real Energy Into the Load#kWh,TEM2,Mains,Incoming
