Timestamp;DB1_TEM1.D_TEM_1_Main_Incomer_8420#Real Energy Into the Load#kWh;DB1_TEM1.DB1_TEM1_Gen_Total_Load_MLVA#Real Energy Into the Load#kWh;DB1_TEM1.DB1_TEM1_Gen_Total_Load_MLVB#Real Energy Into the Load#kWh;DB1_TEM1.DB1_TEM1_HVAC_A_Supply#Real Energy Into the Load#kWh;DB1_TEM1.DB1_TEM1_HVAC_B_Supply#Real Energy Into the Load#kWh;DB1_TEM1.DB1_TEM1_UPS_A_Supply#Real Energy Into the Load#kWh;DB1_TEM1.DB1_TEM1_UPS_B_Supply#Real Energy Into the Load#kWh
2021/12/01 00:15;12323568;124783,858;95417,152;5497676,384;3164482,588;11988039;6510202,67
2021/12/01 00:30;12323717;124783,858;95417,152;5497701,191;3164500,349;11988083,68;6510248,82
2021/12/01 00:45;12323866;124783,858;95417,152;5497728,649;3164519,877;11988128,32;6510293,146
2021/12/01 01:00;12324013;124783,858;95417,152;5497751,069;3164537,285;11988179,96;6510339,411
2021/12/01 01:15;12324164;124783,858;95417,152;5497776,653;3164554,444;11988225,52;6510384,771
2021/12/01 01:30;12324312;124783,858;95417,152;5497803,937;3164574,337;11988271,46;6510429,911
2021/12/01 01:45;12324460;124783,858;95417,152;5497827,514;3164591,427;11988317,1;6510476,396
2021/12/01 02:00;12324605;124783,858;95417,152;5497851,385;3164610,502;11988362,04;6510527,738
2021/12/01 02:15;12324754;124783,858;95417,152;5497879,211;3164628,172;11988413,59;6510574,158
2021/12/01 02:30;12324904;124783,858;95417,152;5497905,554;3164645,863;11988460,2;6510618,886
2021/12/01 02:45;12325050;124783,858;95417,152;5497929,645;3164662,866;11988505,07;6510664,275
2021/12/01 03:00;12325198;124783,858;95417,152;5497953,704;3164680,357;11988550,55;6510710,774
2021/12/01 03:15;12325344;124783,858;95417,152;5497977,728;3164700,175;11988595,64;6510760,497
2021/12/01 03:30;12325493;124783,858;95417,152;5498004,04;3164717,622;11988641,01;6510805,119
2021/12/01 03:45;12325642;124783,858;95417,152;5498032,101;3164735,394;11988690,95;6510849,024
2021/12/01 04:00;12325787;124783,858;95417,152;5498054,11;3164752,405;11988736,03;6510900,27
2021/12/01 04:15;12325935;124783,858;95417,152;5498079,046;3164772,419;11988785,77;6510946,821
2021/12/01 04:30;12326082;124783,858;95417,152;5498104,546;3164789,493;11988830,45;6510991,844
2021/12/01 04:45;12326231;124783,858;95417,152;5498129,94;3164806,581;11988876,06;6511036,349
2021/12/01 05:00;12326378;124783,858;95417,152;5498156,674;3164826,781;11988921,27;6511086,551
2021/12/01 05:15;12326524;124783,858;95417,152;5498180,211;3164843,502;11988972,05;6511132,17
2021/12/01 05:30;12326673;124783,858;95417,152;5498208,001;3164860,578;11989017,62;6511176,622
2021/12/01 05:45;12326821;124783,858;95417,152;5498232,741;3164880,772;11989061,2;6511221,68
2021/12/01 06:00;12326968;124783,858;95417,152;5498256,405;3164897,91;11989106,94;6511266,752
2021/12/01 06:15;12327115;124783,858;95417,152;5498279,842;3164916,158;11989159;6511318,129
2021/12/01 06:30;12327264;124783,858;95417,152;5498306,284;3164933,767;11989205,15;6511361,658
2021/12/01 06:45;12327413;124783,858;95417,152;5498331,733;3164950,953;11989248,96;6511411,531
2021/12/01 07:00;12327559;124783,858;95417,152;5498358,478;3164969,097;11989295,45;6511458,203
2021/12/01 07:15;12327709;124783,858;95417,152;5498383,39;3164989,092;11989345,29;6511501,915
2021/12/01 07:30;12327857;124783,858;95417,152;5498407,741;3165006,682;11989390,36;6511548,374
2021/12/01 07:45;12328008;124783,858;95417,152;5498434,305;3165024,517;11989435,44;6511593,953
2021/12/01 08:00;12328155;124783,858;95417,152;5498457,997;3165042,125;11989481,86;6511639,624
2021/12/01 08:15;12328305;124783,858;95417,152;5498484,807;3165059,989;11989527,84;6511686,855
2021/12/01 08:30;12328457;124783,858;95417,152;5498509,697;3165080,119;11989578,32;6511737,769
2021/12/01 08:45;12328607;124783,858;95417,152;5498536,369;3165097,965;11989623,17;6511783,126
2021/12/01 09:00;12328758;124783,858;95417,152;5498564,151;3165115,684;11989667,73;6511828,342
2021/12/01 09:15;12328907;124783,858;95417,152;5498587,533;3165132,311;11989718,29;6511878,581
2021/12/01 09:30;12329057;124783,858;95417,152;5498611,407;3165151,555;11989765,5;6511923,725
2021/12/01 09:45;12329210;124783,858;95417,152;5498638,417;3165168,012;11989811,66;6511971,322
2021/12/01 10:00;12329361;124783,858;95417,152;5498665,308;3165185,726;11989862,46;6512016,977
2021/12/01 10:15;12329513;124783,858;95417,152;5498691,195;3165202,668;11989907,68;6512063,283
