"Timestamp";"DB1_TEM1.D_TEM_1_Main_Incomer_8420#Real Energy Into the Load#kWh";"DB1_TEM1.DB1_TEM1_Gen_Total_Load_MLVA#Real Energy Into the Load#kWh";"DB1_TEM1.DB1_TEM1_Gen_Total_Load_MLVB#Real Energy Into the Load#kWh";"DB1_TEM1.DB1_TEM1_HVAC_A_Supply#Real Energy Into the Load#kWh";"DB1_TEM1.DB1_TEM1_HVAC_B_Supply#Real Energy Into the Load#kWh";"DB1_TEM1.DB1_TEM1_UPS_A_Supply#Real Energy Into the Load#kWh";"DB1_TEM1.DB1_TEM1_UPS_B_Supply#Real Energy Into the Load#kWh"
2022-01-01 00:15:00;12754884;130573,079;99989,453;5568760,04;3222785,119;12127948,054;6649180,572
2022-01-01 00:30:00;12755027;130573,079;99989,453;5568785,752;3222797,587;12128000,307;6649232,074
2022-01-01 00:45:00;12755171;130573,079;99989,453;5568816,79;3222809,379;12128046,254;6649275,79
2022-01-01 01:00:00;12755314;130573,079;99989,453;5568843,641;3222822,871;12128092,94;6649322,588
2022-01-01 01:15:00;12755459;130573,079;99989,453;5568868,452;3222834,625;12128138,964;6649368,723
2022-01-01 01:30:00;12755602;130573,079;99989,453;5568895,373;3222846,418;12128183,107;6649414,709
2022-01-01 01:45:00;12755743;130573,079;99989,453;5568923,625;3222857,96;12128229,487;6649461,408
2022-01-01 02:00:00;12755885;130573,079;99989,453;5568949,301;3222870,069;12128282,141;6649512,818
2022-01-01 02:15:00;12756028;130573,079;99989,453;5568972,838;3222882,016;12128329,017;6649558,019
2022-01-01 02:30:00;12756171;130573,079;99989,453;5568999,264;3222895,556;12128375,843;6649603,193
2022-01-01 02:45:00;12756312;130573,079;99989,453;5569026,956;3222907,895;12128422,383;6649653,034
2022-01-01 03:00:00;12756454;130573,079;99989,453;5569052,667;3222920,296;12128468,081;6649698,164
2022-01-01 03:15:00;12756596;130573,079;99989,453;5569077,015;3222932,999;12128512,426;6649743,303
2022-01-01 03:30:00;12756739;130573,079;99989,453;5569101,878;3222945,123;12128559,49;6649789,001
2022-01-01 03:45:00;12756883;130573,079;99989,453;5569129,366;3222955,816;12128606,083;6649835,071
2022-01-01 04:00:00;12757025;130573,079;99989,453;5569156,209;3222967,688;12128652,789;6649881,05
2022-01-01 04:15:00;12757168;130573,079;99989,453;5569183,055;3222979,324;12128699,809;6649932,636
2022-01-01 04:30:00;12757310;130573,079;99989,453;5569212,067;3222992,805;12128752,026;6649978,205
2022-01-01 04:45:00;12757453;130573,079;99989,453;5569239,077;3223004,1;12128798,876;6650021,704
2022-01-01 05:00:00;12757595;130573,079;99989,453;5569264,665;3223015,852;12128843,51;6650073,124
2022-01-01 05:15:00;12757737;130573,079;99989,453;5569291,549;3223027,373;12128887,873;6650119,068
2022-01-01 05:30:00;12757879;130573,079;99989,453;5569320,327;3223039,115;12128939,15;6650163,342
2022-01-01 05:45:00;12758022;130573,079;99989,453;5569346,968;3223050,824;12128985,057;6650208,357
2022-01-01 06:00:00;12758164;130573,079;99989,453;5569372,551;3223062,841;12129031,001;6650258,165
2022-01-01 06:15:00;12758306;130573,079;99989,453;5569397,828;3223076,427;12129076,065;6650304,147
2022-01-01 06:30:00;12758450;130573,079;99989,453;5569424,272;3223088,391;12129121,98;6650350,037
2022-01-01 06:45:00;12758594;130573,079;99989,453;5569454,631;3223100,307;12129168,066;6650395,213
2022-01-01 07:00:00;12758739;130573,079;99989,453;5569481,066;3223112,422;12129213,311;6650446,601
2022-01-01 07:15:00;12758883;130573,079;99989,453;5569507,093;3223124,396;12129265,234;6650493,129
2022-01-01 07:30:00;12759027;130573,079;99989,453;5569532,609;3223136,814;12129310,853;6650538,691
2022-01-01 07:45:00;12759172;130573,079;99989,453;5569562,233;3223149,578;12129356,757;6650584,88
2022-01-01 08:00:00;12759316;130573,079;99989,453;5569587,635;3223163,455;12129401,696;6650630,546
2022-01-01 08:15:00;12759459;130573,079;99989,453;5569613,382;3223176,774;12129448,538;6650677,472
2022-01-01 08:30:00;12759605;130573,079;99989,453;5569639,816;3223189,729;12129494,747;6650724,133
2022-01-01 08:45:00;12759750;130573,079;99989,453;5569666,524;3223203,58;12129540,161;6650770,888
2022-01-01 09:00:00;12759897;130573,079;99989,453;5569693,137;3223217,18;12129592,191;6650815,162
2022-01-01 09:15:00;12760042;130573,079;99989,453;5569722,777;3223231,129;12129637,521;6650866,058
2022-01-01 09:30:00;12760189;130573,079;99989,453;5569749,165;3223246,891;12129682,804;6650910,605
2022-01-01 09:45:00;12760334;130573,079;99989,453;5569774,955;3223260,384;12129729,176;6650956,593
2022-01-01 10:00:00;12760482;130573,079;99989,453;5569804,011;3223273,796;12129775,053;6651002,841
2022-01-01 10:15:00;12760630;130573,079;99989,453;5569833,982;3223287,651;12129822,902;6651048,709
2022-01-01 10:30:00;12760777;130573,079;99989,453;5569861,985;3223301,529;12129868,834;6651098,836
2022-01-01 10:45:00;12760923;130573,079;99989,453;5569888,798;3223315,679;12129915,192;6651145,654
2022-01-01 11:00:00;12761069;130573,079;99989,453;5569916,69;3223329,71;12129967,236;6651189,489
2022-01-01 11:15:00;12761216;130573,079;99989,453;5569944,133;3223343,959;12130012,417;6651235,401
2022-01-01 11:30:00;12761363;130573,079;99989,453;5569970,636;3223358,162;12130056,501;6651286,394
2022-01-01 11:45:00;12761512;130573,079;99989,453;5569998,124;3223374,225;12130101,765;6651331,706
2022-01-01 12:00:00;12761659;130573,079;99989,453;5570030,941;3223388,185;12130148,516;6651376,548
2022-01-01 12:15:00;12761809;130573,079;99989,453;5570060,257;3223402,556;12130200,044;6651428,627
2022-01-01 12:30:00;12761959;130573,079;99989,453;5570091,335;3223416,565;12130245,247;6651473,941
2022-01-01 12:45:00;12762108;130573,079;99989,453;5570120,113;3223430,675;12130290,806;6651519,328
2022-01-01 13:00:00;12762258;130573,079;99989,453;5570149,304;3223444,936;12130338,515;6651563,091
2022-01-01 13:15:00;12762407;130573,079;99989,453;5570179,014;3223461,248;12130385,689;6651614,698
2022-01-01 13:30:00;12762557;130573,079;99989,453;5570208,216;3223475,771;12130431,32;6651659,63
2022-01-01 13:45:00;12762708;130573,079;99989,453;5570237,871;3223490,385;12130477,984;6651703,856
2022-01-01 14:00:00;12762858;130573,079;99989,453;5570270,498;3223504,894;12130523,414;6651750,273
2022-01-01 14:15:00;12763008;130573,079;99989,453;5570299,137;3223519,633;12130575,44;6651796,988
