Timestamp;JB1_TEM1.J_MV_Incomer_1#Real Energy Into the Load#kWh;JB1_TEM1.J_MV_Incomer_2#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_DB_AC1_Mainswitch#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_DB_AC2_Mainswitch#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_DB_CC_A_TCP#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_GeneratorAController#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_GeneratorBController#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_HVACAEBO#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_HVACBEBO#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_MDB_A_Mainswitch#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_MDB_B_Mainswitch#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_UPS_A_Mainswitch#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_UPS_B_Mainswitch#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_HVAC_A_Total_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_HVAC_B_Total_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_Main_Incomer_LSVP#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_MLV_A_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_MLV_B_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_Rectifier_A_Total_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_Rectifier_B_Total_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_UPS_A_Total_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_UPS_B_Total_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM2_Generator_A_Supply#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM2_Generator_B_Supply#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Gen_A_Supply#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Gen_B_Supply#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Rectifier_A_Supply#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Rectifier_B_Supply#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_HVAC_A_Supply#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_HVAC_B_Supply#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_LSVP#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_MLV_A#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_MLV_B#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_TEM_3_MLV_A_UPS#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_TEM_3_MLV_B_UPS#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_TEM_3_UPS_A3#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_TEM_3_UPS_B3#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Utility_Supply_To_EC_A#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Utility_Supply_To_EC_B#Real Energy Into the Load#kWh
2022/01/01 00:15;33829532;29843356;11898967;10263557;34617548;30941;40997,3;11898936;10263532;21557906;40113964;18774616;17200514;9083040,898;9716829,594;31044650;36788409,64;34105039,4;510555,335;59930,195;24295158,84;22224620,2;204500,432;209996,66;83121,193;79893,197;0,055;0,001;6981563,5;5123137,143;31787792;30078768,09;24744119,78;16273883,31;14465240,7;4234493,978;3277153,516;30012072,87;24533622,1
2022/01/01 00:30;33830132;29843670;11899011;10263594;34617860;30941;40997,3;11899027;10263605;21558062;40114116;18774686;17200582;9083075,511;9716856,5;31044930;36788553,32;34105184,17;510557,356;59930,402;24295260,38;22224710,3;204500,432;209996,66;83121,193;79893,197;0,055;0,001;6981595,5;5123165,578;31788080;30078933,79;24744263,39;16273977,95;14465319,28;4234509,343;3277153,516;30012218,54;24533764,62
2022/01/01 00:45;33830736;29843984;11899057;10263632;34618168;30941;40997,3;11899027;10263605;21558222;40114272;18774758;17200648;9083109,56;9716883,2;31045214;36788702,11;34105313,31;510559,193;59930,635;24295361,54;22224806,12;204500,432;209996,66;83121,193;79893,197;0,055;0,001;6981626,5;5123193,964;31788368;30079065,74;24744386,34;16274068,99;14465410,99;4234524,561;3277153,516;30012365,62;24533888,72
2022/01/01 01:00;33831336;29844294;11899103;10263666;34618476;30941;40997,3;11899117;10263675;21558386;40114424;18774828;17200718;9083141,283;9716909,985;31045494;36788846,81;34105445,8;510560,926;59930,84;24295462,99;22224899,3;204500,432;209996,66;83121,193;79893,197;0,055;0,001;6981658,5;5123224,634;31788654;30079218,67;24744525,66;16274160,42;14465488,71;4234539,776;3277153,516;30012518,45;24534027,29
2022/01/01 01:15;33831936;29844606;11899148;10263701;34618788;30941;40997,3;11899117;10263675;21558542;40114572;18774898;17200784;9083173,822;9716936,842;31045776;36789010,01;34105577,33;510562,74;59931,041;24295576,63;22224994,84;204500,432;209996,66;83121,193;79893,197;0,055;0,001;6981689,5;5123253,718;31788940;30079372,56;24744665,54;16274251,13;14465564,2;4234554,329;3277153,516;30012672,7;24534181,9
2022/01/01 01:30;33832536;29844916;11899194;10263736;34619096;30941;40997,3;11899209;10263743;21558702;40114724;18774970;17200850;9083206,658;9716964,282;31046058;36789158,66;34105706,93;510564,524;59931,251;24295675,05;22225101,28;204500,432;209996,66;83121,193;79893,197;0,055;0,001;6981710,5;5123280,979;31789226;30079502,96;24744802,39;16274345,09;14465645,11;4234568,603;3277153,516;30012822,2;24534324,06
2022/01/01 01:45;33833140;29845226;11899240;10263770;34619404;30941;40997,3;11899209;10263743;21558862;40114872;18775038;17200918;9083243,544;9716991,448;31046338;36789306,28;34105833,93;510566,319;59931,461;24295772,58;22225196,13;204500,432;209996,66;83121,193;79893,197;0,055;0,001;6981743;5123309,495;31789510;30079649,25;24744947,19;16274438,66;14465726,89;4234584,081;3277153,516;30012967,42;24534443,68
2022/01/01 02:00;33833740;29845538;11899286;10263807;34619712;30941;40997,3;11899301;10263815;21559018;40115028;18775108;17200986;9083277,84;9717018,941;31046618;36789454,85;34105968,86;510568,369;59931,672;24295870,59;22225289,42;204500,432;209996,66;83121,193;79893,197;0,055;0,001;6981774,5;5123338,121;31789794;30079812,5;24745080,42;16274541,05;14465803,96;4234599,982;3277153,516;30013113,62;24534596,95
2022/01/01 02:15;33834344;29845848;11899331;10263844;34620024;30941;40997,3;11899301;10263815;21559178;40115172;18775178;17201050;9083311,769;9717045,393;31046900;36789602,26;34106099,21;510570,197;59931,906;24295983,74;22225385,76;204500,432;209996,66;83121,193;79893,197;0,055;0,001;6981805,5;5123366,388;31790078;30079940,9;24745216,08;16274632,55;14465881,85;4234613,443;3277153,516;30013241,82;24534733,22
2022/01/01 02:30;33834940;29846158;11899377;10263879;34620332;30941;40997,3;11899391;10263887;21559334;40115324;18775246;17201118;9083345,389;9717075,433;31047180;36789752,54;34106227,03;510572,035;59932,114;24296072,3;22225480,11;204500,432;209996,66;83121,193;79893,197;0,055;0,001;6981837,5;5123393,584;31790360;30080090,5;24745357,64;16274725,12;14465961,12;4234628,539;3277153,516;30013391,2;24534865,62
