Timestamp;JB3_TEM8.JB3_TEM8_Gen_Room_Gen_A_Supply#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Gen_Room_Gen_C_Supply#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Gen_Room_Gen_D_Supply#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Gen_Room_Gen_E_Supply#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Generator_B_Supply#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_HVAC_System_A#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_HVAC_System_B#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_HVAC_System_C#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_HVAC_System_D#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_HVAC_System_E#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Main_Incomer_HT_A#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Main_Incomer_HT_B#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Main_Incomer_HT_C#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Main_Incomer_HT_D#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Main_Incomer_HT_E#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Mechanical_UPS_A#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Mechanical_UPS_B#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Mechanical_UPS_C#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Mechanical_UPS_D#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_Mechanical_UPS_E#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_UPS_System_A#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_UPS_System_B#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_UPS_System_C#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_UPS_System_D#Real Energy Into the Load#kWh;JB3_TEM8.JB3_TEM8_UPS_System_E#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Gen_Room_Gen_B_Supply#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Gen_Room_Gen_E_Supply#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Generator_A_Supply#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Generator_C_Supply#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Generator_D_Supply#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_HVAC_System_A#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_HVAC_System_B#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_HVAC_System_C#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_HVAC_System_D#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_HVAC_System_E#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Main_Incomer_HT_A#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Main_Incomer_HT_B#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Main_Incomer_HT_C#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Mechanical_UPS_A#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Mechanical_UPS_B#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Mechanical_UPS_C#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Mechanical_UPS_D#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Mechanical_UPS_E#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Substation_D_HT#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_Substation_E_HT#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_UPS_System_A#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_UPS_System_B#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_UPS_System_C#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_UPS_System_D#Real Energy Into the Load#kWh;JB3_TEM9.JB3_TEM9_UPS_System_E#Real Energy Into the Load#kWh
2022/01/01 00:15;46384,96094;46753,37109;56297,98047;49199,65234;49168,71484;111144,209;96464,856;124984,85;131528,848;128721,112;709199,9375;590199,4375;642958,1875;570735,1875;598562,5625;70876,5625;67416,60938;92448,19531;72565,41406;64934,62109;302242,0313;216645,3594;216788,7188;164251,1875;209283,3438;43633,77344;39634,55469;53914,67188;45501,29688;42484,22266;146000,671;118897,66;95016,438;19012,045;130067,787;956300,0625;945696,875;936590,0625;124049,8516;162704,1719;118481,1328;112375,2891;131992,3594;1036387,313;943819,8125;468788,3125;398419,4375;465739,625;536527,75;412770,5938
2022/01/01 00:30;46384,96094;46753,37109;56297,98047;49199,65234;49168,71484;111145,006;96474,113;124984,995;131536,15;128721,885;709219,5;590221,1875;642974,25;570753,9375;598572,8125;70877,26563;67418,67188;92449,5625;72567,36719;64935,25781;302254,5313;216649,2344;216797,7813;164254,8906;209287,5469;43633,77344;39634,55469;53914,67188;45501,29688;42484,22266;146001,439;118899,004;95016,543;19012,048;130068,705;956340,3125;945730,5;936632;124053,8594;162710,2344;118485,4766;112378,7813;131994,6563;1036423;943844,25;468819,0313;398440,375;465771,6875;536554,75;412785,7813
2022/01/01 00:45;46384,96094;46753,37109;56297,98047;49199,65234;49168,71484;111145,601;96483,641;124985,496;131543,589;128722,399;709239,125;590243,1875;642990,1875;570772,5625;598583,375;70877,96875;67420,74219;92450,91406;72569,32031;64935,89453;302267,0313;216653,0938;216806,8438;164258,5938;209291,75;43633,77344;39634,55469;53914,67188;45501,29688;42484,22266;146001,992;118900,321;95016,647;19012,052;130069,409;956380,5;945764,5;936674;124057,875;162716,4375;118489,9766;112382,2813;131996,9375;1036460,188;943867,75;468849,8125;398461,3125;465803,6563;536581,3125;412801
2022/01/01 01:00;46384,96094;46753,37109;56297,98047;49199,65234;49168,71484;111146,179;96492,138;124985,948;131550,725;128722,857;709258,8125;590264,1875;643006,125;570789,9375;598593,25;70878,67188;67422,8125;92452,25;72571,27344;64936,53125;302279,5625;216656,9531;216815,9219;164262,2969;209295,9531;43633,77344;39634,55469;53914,67188;45501,29688;42484,22266;146002,489;118901,47;95016,752;19012,056;130070,058;956420,5625;945796,75;936714,625;124061,8906;162721,25;118493,1016;112387,1563;132000,5938;1036498,938;943892,625;468880,5313;398482,2188;465835,6563;536608,0625;412816,25
2022/01/01 01:15;46384,96094;46753,37109;56297,98047;49199,65234;49168,71484;111146,922;96499,617;124986,679;131557,169;128723,71;709278,625;590284,125;643022,8125;570807,25;598603,5625;70879,375;67424,88281;92453,57813;72573,22656;64937,16797;302292,0938;216660,8281;216825;164265,9844;209300,1563;43633,77344;39634,55469;53914,67188;45501,29688;42484,22266;146003,289;118903,216;95016,858;19012,061;130070,99;956461,125;945829,0625;936754,5625;124065,8984;162725,1406;118495,3281;112392,9219;132005,2031;1036537,75;943918,8125;468911,2813;398503,2188;465867,6563;536634,75;412831,5625
2022/01/01 01:30;46384,96094;46753,37109;56297,98047;49199,65234;49168,71484;111147,626;96507,067;124987,019;131564,072;128724,491;709298,4375;590304,0625;643038,375;570825,5625;598614,4375;70880,07813;67426,94531;92454,91406;72575,17969;64937,80469;302304,625;216664,6875;216834,0781;164269,6719;209304,3594;43633,77344;39634,55469;53914,67188;45501,29688;42484,22266;146004,017;118904,882;95016,963;19012,064;130071,862;956501,5;945860,625;936794,375;124069,9141;162729,0469;118497,5625;112398,5391;132009,6719;1036576,438;943945,875;468942,0313;398524,1563;465899,5938;536661,375;412846,8125
2022/01/01 01:45;46384,96094;46753,37109;56297,98047;49199,65234;49168,71484;111148,467;96514,411;124987,078;131570,801;128725,271;709318,375;590323,9375;643053,875;570842,9375;598624,625;70880,78125;67429,01563;92456,25;72577,13281;64938,44141;302317,125;216668,5469;216843,1406;164273,375;209308,5625;43633,77344;39634,55469;53914,67188;45501,29688;42484,22266;146004,82;118906,306;95017,067;19012,068;130072,812;956541,8125;945892,1875;936834,0625;124073,9219;162732,9375;118499,7813;112404,0859;132014,0781;1036614,625;943973,0625;468972,75;398544,9688;465931,5938;536687,9375;412862,0313
2022/01/01 02:00;46384,96094;46753,37109;56297,98047;49199,65234;49168,71484;111149,046;96522,871;124987,538;131577,562;128725,78;709338;590344,875;643070,0625;570859,75;598634,5625;70881,48438;67431,08594;92457,57813;72579,08594;64939,07813;302329,6563;216672,4219;216852,2188;164277,0625;209312,7656;43633,77344;39634,55469;53914,67188;45501,29688;42484,22266;146005,37;118907,523;95017,172;19012,072;130073,511;956581,625;945923,0625;936873,625;124077,9375;162736,8281;118502,0078;112409,8125;132018,6406;1036653,188;943999,6875;469003,4063;398565,8125;465963,5313;536714,4375;412877,1875
2022/01/01 02:15;46384,96094;46753,37109;56297,98047;49199,65234;49168,71484;111149,59;96530,558;124988,069;131583,837;128726,346;709357,6875;590363,8125;643085,5;570877,5;598644,5625;70882,17969;67433,15625;92458,91406;72581,03906;64939,71484;302342,1875;216676,2813;216861,3125;164280,7656;209316,9688;43633,77344;39634,55469;53914,67188;45501,29688;42484,22266;146005,955;118908,946;95017,276;19012,076;130074,242;956621,8125;945954,625;936913,4375;124081,9453;162740,7188;118504,2344;112415,5234;132023,2188;1036692,375;944025,5;469034,125;398586,7813;465995,5938;536741,0625;412892,4375
2022/01/01 02:30;46384,96094;46753,37109;56297,98047;49199,65234;49168,71484;111150,538;96538,252;124988,786;131590,348;128727,239;709377,75;590382,9375;643101,9375;570894,8125;598654,9375;70882,88281;67435,22656;92460,24219;72582,99219;64940,35547;302354,7188;216680,1406;216870,3906;164284,4688;209321,1875;43633,77344;39634,55469;53914,67188;45501,29688;42484,22266;146006,861;118910,773;95017,385;19012,08;130075,275;956662,3125;945986,5;936953,3125;124085,9609;162744,625;118506,4609;112421,1484;132027,6875;1036730,813;944051,5;469064,8438;398607,7188;466027,6563;536767,75;412907,6563
