Description:,"Celsius-based cooling degree days with base temperatures at and around 18 C"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Cape Town, Cape Town International Airport, ZA (18.60E,33.96S)"
Station ID:,FACT
,(Column titles show the base temperature in Celsius)
Week starting,CDD 15,CDD 15.5,CDD 16,CDD 16.5,CDD 17,CDD 17.5,CDD 18,CDD 18.5,CDD 19,CDD 19.5,CDD 20,CDD 20.5,CDD 21,% Estimated
2019-03-31,19,16.6,14.2,12.2,10.5,9.1,7.8,6.7,5.9,4.9,4.1,3.5,3,0
2019-04-07,26.8,23.5,20.3,17.3,14.4,12,9.8,8.2,6.7,5.6,4.6,3.9,3.1,0
2019-04-14,13.1,11.1,9.3,7.9,6.7,5.4,4.3,3.6,2.9,2.3,1.9,1.5,1.2,0
2019-04-21,24.2,21.4,18.6,16,13.7,11.7,9.7,8.1,6.9,5.7,4.5,3.6,2.7,0
2019-04-28,10.2,8.6,7.2,5.7,4.6,3.8,3.1,2.4,2.1,1.8,1.5,1.4,1.2,0
2019-05-05,11.3,9.7,8.3,7,5.9,4.8,3.9,3,2.6,2,1.4,1,0.7,0
2019-05-12,15.6,13.6,11.4,9.9,8.4,6.9,6,4.9,4.2,3.4,2.8,2.1,1.6,0
2019-05-19,9.3,7.8,6.5,5.4,4.3,3.7,3,2.5,2.1,1.7,1.4,1.2,1.1,0
2019-05-26,12.6,11.2,9.7,8.3,7,6.2,5.2,4.4,3.8,3.2,2.8,2.3,1.8,0
2019-06-02,5.5,4.4,3.4,2.9,2.2,1.8,1.4,1,0.7,0.5,0.4,0.3,0.2,0.3
2019-06-09,5.5,4.3,3.1,2.4,1.8,1.6,1.2,1.1,0.9,0.7,0.5,0.4,0.3,0.1
2019-06-16,11.6,10.2,9.3,8.3,7.3,6.5,5.6,4.8,4.2,3.5,3,2.5,1.9,0.4
2019-06-23,2.7,1.9,1.4,0.9,0.6,0.3,0.2,0.1,0,0,0,0,0,1
2019-06-30,1.8,1.1,0.5,0.3,0.1,0,0,0,0,0,0,0,0,0.1
2019-07-07,4.5,3.5,2.7,1.8,1.1,0.7,0.3,0.1,0,0,0,0,0,0.1
2019-07-14,2.2,1.4,0.8,0.5,0.3,0.2,0.2,0.1,0,0,0,0,0,0.1
2019-07-21,2.7,2.1,1.7,1.5,1.2,1,0.7,0.5,0.4,0.3,0.2,0.1,0,0
2019-07-28,2.4,1.8,1.3,0.9,0.4,0.3,0.1,0.1,0,0,0,0,0,0
2019-08-04,1.3,0.9,0.4,0.2,0,0,0,0,0,0,0,0,0,0
2019-08-11,5.5,4.6,3.6,2.8,2.3,1.7,1.3,1.1,0.7,0.6,0.5,0.4,0.3,0
2019-08-18,11.8,10.4,9.1,7.9,6.8,5.8,5,4.3,3.7,3.1,2.8,2.4,2,0
