Description:,"Celsius-based cooling degree days with base temperatures at and around 18 C"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"King Shaka Intl Arpt, ZA (31.13E,29.60S)"
Station ID:,FALE
,(Column titles show the base temperature in Celsius)
Week starting,CDD 15,CDD 15.5,CDD 16,CDD 16.5,CDD 17,CDD 17.5,CDD 18,CDD 18.5,CDD 19,CDD 19.5,CDD 20,CDD 20.5,CDD 21,% Estimated
2019-03-31,41.8,38.3,34.8,31.3,27.8,24.5,21.2,18.6,16,13.6,11.5,9.6,7.8,0
2019-04-07,46.7,43.3,39.9,36.6,33.4,30.1,27,23.9,20.8,18,15.2,12.7,10.4,0
2019-04-14,46.1,42.6,39.1,35.6,32.3,29,25.6,22.5,19.3,16.2,13.7,11.3,9.1,0
2019-04-21,40.5,37,33.5,30,26.6,23.4,20.4,17.7,14.7,12.3,10,8.1,6.5,0
2019-04-28,46.3,42.8,39.5,36.2,32.9,29.7,26.5,23.6,20.7,18.3,15.6,13.4,11.4,0
2019-05-05,42,39,36,33,30.1,27.2,24.4,21.8,19.4,17,14.8,12.8,10.7,0
2019-05-12,34.1,31.1,28,25.1,22.5,19.8,17.2,15,12.7,10.8,8.9,7.4,6,0
2019-05-19,31.5,28.7,25.9,23.2,20.8,18.4,15.9,13.9,11.9,10.2,8.5,7.1,5.8,0
2019-05-26,20.5,18.3,16.1,14,12.2,10.4,8.9,7.6,6.2,4.9,3.8,2.7,1.9,0
2019-06-02,23.5,20.9,18.8,16.9,15.1,13.6,11.9,10.6,9.2,8.3,7.1,5.9,5,0
2019-06-09,20.3,18,15.7,14,12,10.5,8.8,7.5,6.3,5.3,4.4,3.5,3,0.1
2019-06-16,20.4,18.6,16.8,15.4,13.9,12.7,11.2,9.9,8.6,7.4,6.3,5.3,4.3,0
2019-06-23,21.1,19.2,17.2,15.3,13.6,12,10.3,8.9,7.5,6.2,5,3.9,2.9,0.1
2019-06-30,20.7,19,17.3,15.8,14.5,12.9,11.4,10.4,9,8,6.8,5.7,4.6,0.3
2019-07-07,21.1,18.8,16.7,14.8,12.9,11.4,9.9,8.2,6.9,5.7,4.6,3.6,2.9,0
2019-07-14,24.2,22.2,20.3,18.2,16.6,15,13.5,12.2,10.8,9.6,8.4,7.5,6.4,0
2019-07-21,23.9,21.8,20,18.1,16.2,14.6,13.2,11.8,10.3,9,7.8,6.5,5.5,0
2019-07-28,26.5,23.8,21.4,19,16.9,14.9,13,11.2,9.6,8.1,7.1,6,5,0
2019-08-04,25.5,22.5,19.6,16.9,14.2,11.8,9.6,7.8,6.1,4.8,3.6,2.8,2,0
2019-08-11,24,21.5,18.9,16.6,14.6,12.9,11.2,9.6,8.3,7,6,5.2,4.5,0
2019-08-18,23,20.6,18.3,16.2,14.2,12.5,10.6,9,7.5,6.1,4.8,3.9,2.8,0
2019-08-25,27.6,24.6,21.7,19,16.3,13.9,11.6,9.4,7.7,6.5,5.3,4.4,3.7,0.1
2019-09-01,19.6,17.3,15.2,13.2,11.4,9.8,8.3,6.9,5.7,4.7,3.6,2.9,2.3,0
2019-09-08,27,24.2,21.6,19.1,16.7,14.6,12.5,10.7,8.7,7.4,6,4.6,3.7,0
2019-09-15,42.2,38.8,35.4,32,28.7,25.7,22.5,19.7,16.9,14.2,11.6,9.6,7.8,0
2019-09-22,21.4,18.5,15.9,13.8,11.7,9.7,8.1,6.5,5.1,3.9,2.8,2,1.2,0
2019-09-29,34,31,28.2,25.6,23,20.5,18.2,15.7,13.5,11.2,9,7.3,5.7,0
2019-10-06,35.9,32.9,29.9,27.3,24.5,22,19.4,17.1,14.7,12.5,10.7,9,7.2,0
2019-10-13,41,37.6,34.2,30.8,27.6,24.3,21.3,18.5,15.9,13.2,10.8,8.5,6.5,0
2019-10-20,39.6,36.4,33.2,30.5,27.7,25.2,22.9,20.4,18.3,16.1,14.1,12.4,10.4,0
2019-10-27,37.9,34.4,30.9,27.6,24.5,22,19.4,17.1,15,12.7,10.6,8.7,7.1,0
2019-11-03,43.9,40.4,36.9,33.4,29.9,26.5,23.2,20.4,17.8,15.5,13.2,11.6,9.7,0
2019-11-10,41.8,38.3,34.8,31.3,27.8,24.3,20.8,17.5,14.2,11.5,8.6,6.8,4.7,0
2019-11-17,39.5,36,32.5,29,25.7,22.5,19.2,16.2,13.6,11.1,8.9,7.3,6.1,0
2019-11-24,59.3,55.8,52.3,48.8,45.4,41.9,38.5,35.1,31.8,28.5,25.4,22.4,19.4,0
2019-12-01,41.4,37.9,34.6,31.5,28.4,25.6,22.8,20.3,17.8,15.4,13.3,11.2,9.1,0.1
2019-12-08,36.4,32.9,29.4,25.9,22.4,19,15.6,13.1,10.5,8.4,6.3,4.9,3.5,0
2019-12-15,49.8,46.3,42.8,39.4,36,32.6,29.3,26,22.7,19.8,17,14.3,11.5,0.3
2019-12-22,54.3,50.8,47.3,43.8,40.3,36.9,33.5,30.3,27.1,24,21,18.3,15.3,0
2019-12-29,64.6,61.1,57.6,54.1,50.6,47.1,43.6,40.1,36.6,33.2,29.7,26.4,23,0
2020-01-05,73.9,70.4,66.9,63.4,59.9,56.4,52.9,49.4,45.9,42.4,38.9,35.4,32,0.1
2020-01-12,74.8,71.3,67.8,64.3,60.8,57.3,53.8,50.3,46.8,43.3,39.8,36.5,33.1,0
2020-01-19,55.2,51.7,48.2,44.7,41.2,37.7,34.2,30.8,27.4,24.2,21,18.4,15.6,0.1
2020-01-26,62.9,59.4,55.9,52.4,48.9,45.5,42,38.7,35.3,32.1,28.9,25.9,22.9,0
2020-02-02,71.6,68.1,64.6,61.1,57.6,54.1,50.6,47.1,43.6,40.1,36.6,33.1,29.6,0
2020-02-09,62.7,59.2,55.7,52.2,48.7,45.2,41.7,38.2,34.7,31.3,27.9,24.5,21.3,0
2020-02-16,69.8,66.3,62.8,59.3,55.8,52.3,48.8,45.3,41.8,38.3,34.8,31.3,27.8,0
2020-02-23,47,43.5,40,36.5,33.1,29.7,26.2,23.4,20.7,18.1,15.7,13.6,11.5,0
2020-03-01,53.6,50.1,46.6,43.1,39.6,36.3,32.9,29.7,26.8,24,21.5,19.2,16.6,0.1
2020-03-08,62.7,59.2,55.7,52.2,48.7,45.2,41.8,38.3,34.9,31.5,28.2,25,21.6,0
2020-03-15,56.9,53.4,49.9,46.4,43,39.5,36.1,32.8,29.4,26.2,23.1,20.3,17.6,0
2020-03-22,53.4,49.9,46.4,42.9,39.4,35.9,32.5,29.3,26.1,23.2,20.3,17.8,15.2,0
2020-03-29,45.3,41.8,38.4,34.9,31.6,28.4,25.1,22,19.2,16.5,14.1,11.9,9.7,0
2020-04-05,40.2,36.7,33.2,29.9,26.4,23.2,20.2,17.8,15.6,13.7,11.9,10.3,8.8,0
2020-04-12,42.6,39.1,35.8,32.4,29.1,26.2,23.2,20.6,17.8,15.4,13.4,11.1,9.2,0
2020-04-19,45.1,41.6,38.1,34.7,31.3,28.1,24.9,21.9,19,16.3,14,11.9,9.7,0.1
2020-04-26,29.3,26.1,23.3,20.2,17.6,15.1,12.8,10.8,9.2,7.9,6.7,5.6,4.5,0
2020-05-03,32.3,29,25.9,23.1,20.3,17.8,15.3,13.4,11.4,9.8,8.2,6.7,5.3,0
2020-05-10,26.2,23.7,21.3,19.2,17.3,15.4,13.7,11.9,10.5,8.9,7.6,6.3,5.2,0
2020-05-17,26.1,24,21.7,19.7,17.8,16,14.2,12.5,10.7,9.4,8,6.8,5.6,0
2020-05-24,21.9,19.9,17.8,15.9,14,12.1,10.5,9,7.6,6.6,5.5,4.6,4,0
2020-05-31,24.8,22.7,20.8,18.7,17,15.5,13.9,12.3,10.9,9.5,8.2,6.9,5.8,0
2020-06-07,21.8,20.1,18.1,16.5,14.9,13.1,11.5,10.1,8.7,7.7,6.5,5.6,4.5,0
2020-06-14,10,8.7,7.5,6.3,5.5,4.6,3.6,2.9,2.2,1.6,1.1,0.6,0.3,0
2020-06-21,19.1,17.3,15.5,14,12.6,11.1,9.9,8.6,7.4,6.2,5.2,4.1,3.3,0
2020-06-28,17.8,15.6,13.7,12,10.4,8.9,7.9,6.5,5.4,4.5,3.4,2.4,1.7,0.3
2020-07-05,25.6,23.5,21.4,19.5,17.5,15.9,14.4,12.9,11.4,10.1,8.7,7.7,6.6,0
2020-07-12,9.8,8.5,7.5,6.3,5.3,4.2,3.5,2.7,2.1,1.5,1,0.6,0.4,0
2020-07-19,15.9,14.4,13,11.5,10.2,8.9,7.5,6.5,5.1,4.3,3.2,2.3,1.5,0
2020-07-26,16.6,14.6,12.7,11.1,9.5,8.3,6.9,6,4.6,3.5,2.5,1.9,1,0
2020-08-02,19,17.1,15,13.2,11.7,10.1,8.7,7.3,6.1,5.1,4.2,3.4,2.8,0
2020-08-09,27.4,25.4,23,21,18.8,17,14.9,13.2,11.4,10.3,8.9,7.6,6.6,0
2020-08-16,14,12,10,8.4,7.1,5.9,4.6,3.6,2.7,1.9,1.4,1,0.7,0
2020-08-23,25.3,22.5,20,17.5,15,13,10.8,9.1,7.4,6,4.7,3.6,2.6,0
2020-08-30,17.9,15.7,13.7,11.8,10.3,8.8,7.5,6.4,5.2,4.4,3.4,2.7,2.2,0.4
2020-09-06,31.8,28.6,25.4,22.3,19.2,16.5,13.9,11.4,9.2,7.2,5.7,4.6,3.4,0
2020-09-13,28.4,25.4,22.3,19.9,17.5,15,12.9,10.8,8.8,7.1,5.9,4.9,4,0
2020-09-20,32.7,30,27.1,24.6,22.1,19.9,17.5,15.6,13.6,12,10.6,9.4,8.3,0
2020-09-27,11.5,9.4,7.3,5.8,4.1,3.4,2.6,2,1.4,1,0.7,0.5,0.3,0
2020-10-04,36.4,32.9,29.4,26,22.7,19.5,16.4,13.7,11,8.9,6.7,5.5,4.1,0
2020-10-11,31.8,28.9,26,23.3,20.5,18.1,15.6,13.6,11.4,9.9,8.2,6.9,5.8,0
2020-10-18,42,38.5,35,31.5,28,24.8,21.5,18.6,15.7,12.9,10.3,8.3,6.4,0
2020-10-25,47.8,44.3,40.8,37.3,33.8,30.7,27.8,24.9,22.3,19.8,17.2,14.9,12.6,0
2020-11-01,46.8,43.3,39.8,36.4,33.1,30.4,27.6,24.9,22.3,19.8,17.1,14.7,12.4,0
2020-11-08,40.2,36.7,33.2,29.7,26.2,22.9,19.8,17.3,14.8,12.7,10.8,9,7.4,0
2020-11-15,48.8,45.3,41.8,38.3,34.8,31.4,28,24.6,21.5,18.3,15.5,12.8,10.3,0
2020-11-22,49.2,45.7,42.2,38.7,35.2,31.7,28.2,25,21.9,19,16.3,13.9,11.6,0
2020-11-29,36.5,33,29.5,26,22.5,19.3,16.4,13.7,11,8.8,6.7,5.2,3.6,0
2020-12-06,61.2,57.7,54.2,50.7,47.2,43.7,40.2,36.7,33.3,29.8,26.4,23.1,19.7,0
2020-12-13,62.7,59.2,55.7,52.2,48.7,45.2,41.7,38.2,34.7,31.2,27.7,24.4,21.1,0
2020-12-20,66.1,62.6,59.1,55.6,52.1,48.6,45.1,41.6,38.1,34.6,31.1,27.8,24.5,0.1
2020-12-27,60.4,56.9,53.4,49.9,46.4,42.9,39.5,36.3,33.2,30.4,27.6,24.9,22.2,0
2021-01-03,62.4,58.9,55.4,51.9,48.4,44.9,41.4,38,34.5,31.3,28.1,25,22.1,0
2021-01-10,68.6,65.1,61.6,58.1,54.6,51.1,47.6,44.1,40.6,37.1,33.6,30.1,26.6,0.1
2021-01-17,66.5,63,59.5,56,52.5,49,45.5,42,38.5,35,31.5,28,24.5,0.1
2021-01-24,58.4,54.9,51.4,47.9,44.4,40.9,37.4,33.9,30.5,27.3,24.1,21.2,18.2,0.1
2021-01-31,61.8,58.3,54.8,51.3,47.8,44.4,41,37.7,34.4,31.2,27.9,24.8,22,0.1
2021-02-07,70.4,66.9,63.4,59.9,56.4,52.9,49.4,45.9,42.4,38.9,35.4,31.9,28.4,0
2021-02-14,59.1,55.6,52.1,48.6,45.1,41.7,38.4,35.2,32.1,29.1,26.3,23.5,21,0
2021-02-21,57.2,53.7,50.2,46.7,43.2,39.7,36.2,32.8,29.4,26,22.7,19.5,16.3,0
2021-02-28,55.4,51.9,48.4,44.9,41.4,38,34.7,31.4,28.2,25.2,22.2,19.5,16.8,0
2021-03-07,66.4,62.9,59.4,55.9,52.4,48.9,45.4,42.1,38.7,35.2,31.9,28.6,25.3,0.3
2021-03-14,63.6,60.1,56.6,53.1,49.6,46.1,42.6,39.1,35.6,32.1,28.7,25.5,22.2,0
2021-03-21,44.1,40.6,37.1,33.6,30.1,26.6,23.1,19.8,16.6,13.7,10.8,8.6,6.6,0
2021-03-28,51,47.5,44,40.6,37.1,33.7,30.3,26.9,23.6,20.8,17.7,15.2,12.7,0.1
2021-04-04,46.8,43.4,39.9,36.7,33.5,30.3,27.3,24.3,21.2,18.6,15.7,13,10.6,0
2021-04-11,48.8,45.4,42,38.8,35.5,32.5,29.5,26.6,23.6,20.9,18.3,15.9,13.4,0
2021-04-18,37.3,34.2,31,28,24.8,21.9,18.7,16,13.7,11.5,9.3,7.8,6.2,0
2021-04-25,37.1,33.6,30.3,27.3,24.3,21.8,19.3,17,14.8,12.9,11.2,9.7,8.3,0
2021-05-02,27.7,25.1,22.2,20,17.6,15.7,13.6,11.9,10.3,8.7,7.3,5.9,4.6,0
2021-05-09,34.4,31.7,29,26.6,24.4,22.1,20.4,18.5,16.7,15.1,13.5,12,10.5,0
2021-05-16,25.8,23,20.3,18.1,15.7,13.9,12,10.7,9.2,7.8,6.6,5.5,4.5,0.1
2021-05-23,24.2,21.9,19.6,17.3,15.5,13.6,11.6,10,8.3,6.9,5.7,4.4,3.4,0
2021-05-30,11.3,9.4,7.6,6.4,4.9,3.8,2.9,2.1,1.3,0.8,0.4,0.2,0,0
2021-06-06,17.4,15.7,13.9,12.3,10.8,9.4,7.9,6.7,5.5,4.5,3.4,2.5,1.8,0
2021-06-13,22.6,20.2,18.1,15.9,13.9,12.1,10.5,9,7.5,6.1,4.8,3.7,2.8,0
2021-06-20,17.8,16,14.3,12.9,11.4,10.1,8.8,7.5,6.5,5.4,4.3,3.4,2.5,0
2021-06-27,25.1,23.2,21.2,19.3,17.7,16,14.4,12.8,11.5,9.9,8.7,7.5,6.5,0
2021-07-04,15.8,13.5,11.5,9.7,8.2,6.6,5.2,3.6,2.7,1.8,1.2,0.8,0.5,0.1
2021-07-11,12.8,11.4,9.7,8.3,7,5.8,4.6,3.7,2.7,2.1,1.7,1.4,1.1,0
2021-07-18,8.9,7.8,6.6,5.3,4.3,3.5,2.8,2.1,1.6,1.1,0.7,0.5,0.2,0.1
2021-07-25,15.1,13.5,11.8,10.4,9.1,7.8,6.5,5.5,4.3,3.3,2.6,1.9,1.5,0
2021-08-01,19.5,17.4,15.7,13.8,12.1,10.4,8.8,7.6,6.2,5.1,4,3.2,2.2,0
2021-08-08,13.5,11.9,10.5,9.1,7.9,6.7,5.5,4.5,3.6,2.9,2.2,1.6,1.1,0
2021-08-15,19.6,17.1,14.6,12.4,10.3,8.5,6.5,5.3,3.9,3,2.3,1.9,1.3,0
2021-08-22,28.3,25.6,23.2,20.9,18.8,17.2,15.6,14.1,12.8,11.6,10.6,9.4,8.5,0.1
2021-08-29,24.2,21.5,19,16.8,14.8,12.9,11.5,9.8,8.5,7.3,6.1,5.3,4.4,0
2021-09-05,20.3,18.2,16.1,14.1,12.3,10.5,8.9,7.4,6.1,4.8,3.9,3.1,2.4,0
2021-09-12,25.4,22.7,19.8,17.5,15.3,13.3,11.2,9.4,7.6,6.3,5,4.1,3.4,0.3
2021-09-19,23.2,20.7,18.1,15.7,13.5,11.4,9.5,7.9,6.3,5.1,4,3.1,2.4,0.1
2021-09-26,32.9,29.5,26.1,23.1,20.1,17.5,14.8,12.4,10.2,8.6,7.1,5.8,4.7,0
2021-10-03,21.9,19.2,16.4,14,11.6,9.6,7.6,5.9,4.5,3.5,2.6,2,1.4,0.1
2021-10-10,34.2,31.1,28.4,25.7,23,20.7,18.5,16.2,14.2,12.5,10.7,9.3,8,0.1
