,Name,Full Name,TEM,Type,Energy Flow
0,TEM2A_GenController,C_TEM2.TEM2A_GenController#Real Energy Into the Load#kWh,TEM2,Generator,Incoming
1,TEM2B_GenController,C_TEM2.TEM2B_GenController#Real Energy Into the Load#kWh,TEM2,Generator,Incoming
2,C1_TEM1_CCL_UPS_System_A,CT1_TEM1.C1_TEM1_CCL_UPS_System_A#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
3,C1_TEM1_CCL_UPS_System_B,CT1_TEM1.C1_TEM1_CCL_UPS_System_B#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
4,C1_TEM1_CCL_UPS_System_C,CT1_TEM1.C1_TEM1_CCL_UPS_System_C#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
5,C1_TEM1_Generator_A_Supply,CT1_TEM1.C1_TEM1_Generator_A_Supply#Real Energy Into the Load#kWh,TEM1,Generator,Incoming
6,C1_TEM1_Generator_B_Supply,CT1_TEM1.C1_TEM1_Generator_B_Supply#Real Energy Into the Load#kWh,TEM1,Generator,Incoming
7,C1_TEM1_Generator_C_Supply,CT1_TEM1.C1_TEM1_Generator_C_Supply#Real Energy Into the Load#kWh,TEM1,Generator,Incoming
8,C1_TEM1_HVAC_System_A,CT1_TEM1.C1_TEM1_HVAC_System_A#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
9,C1_TEM1_HVAC_System_B,CT1_TEM1.C1_TEM1_HVAC_System_B#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
10,C1_TEM1_HVAC_System_C,CT1_TEM1.C1_TEM1_HVAC_System_C#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
11,C1_TEM1_Main_Incomer_HT,CT1_TEM1.C1_TEM1_Main_Incomer_HT#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
12,C_DC_1_UPS_A_Output,CT1_TEM1_Old.C_DC_1_UPS_A_Output#Real Energy Into the Load#kWh,Old,UPS,Outgoing
13,C_DC_1_UPS_B_Output,CT1_TEM1_Old.C_DC_1_UPS_B_Output#Real Energy Into the Load#kWh,Old,UPS,Outgoing
14,C_TEM_1_MDB_Generator_8240,CT1_TEM1_Old.C_TEM_1_MDB_Generator_8240#Real Energy Into the Load#kWh,Old,Generator,Incoming
15,C_TEM_2_DB_UPS_A3,CT1_TEM2.C_TEM_2_DB_UPS_A3#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
16,C_TEM_2_DB_UPS_B3,CT1_TEM2.C_TEM_2_DB_UPS_B3#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
17,C_TEM_2_HVAC_A_Supply,CT1_TEM2.C_TEM_2_HVAC_A_Supply#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
18,C_TEM_2_HVAC_B_Supply,CT1_TEM2.C_TEM_2_HVAC_B_Supply#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
19,C_TEM_2_MLV_A,CT1_TEM2.C_TEM_2_MLV_A#Real Energy Into the Load#kWh,TEM2,Mains,Incoming
20,C_TEM_2_MLV_A_UPS,CT1_TEM2.C_TEM_2_MLV_A_UPS#Real Energy Into the Load#kWh,TEM2,UPS,Outgoing
21,C_TEM_2_MLV_B,CT1_TEM2.C_TEM_2_MLV_B#Real Energy Into the Load#kWh,TEM2,Mains,Incoming
22,C_TEM_2_MLV_B_Supply,CT1_TEM2.C_TEM_2_MLV_B_Supply#Real Energy Into the Load#kWh,TEM2,UPS,Outgoing
