;Name;Full Name;TEM;Type;Energy Flow
0;J_TEM_4_Generator_A_Supply;JB1_TEM4.J_TEM_4_Generator_A_Supply#Real Energy Into the Load#kWh;TEM4;Generator;Incoming
1;J_TEM_4_Generator_B_Supply;JB1_TEM4.J_TEM_4_Generator_B_Supply#Real Energy Into the Load#kWh;TEM4;Generator;Incoming
2;JB1_TEM4_HVAC_System_A;JB1_TEM4.JB1_TEM4_HVAC_System_A#Real Energy Into the Load#kWh;TEM4;HVAC;Outgoing
3;JB1_TEM4_HVAC_System_B;JB1_TEM4.JB1_TEM4_HVAC_System_B#Real Energy Into the Load#kWh;TEM4;HVAC;Outgoing
4;J_TEM_4_Main_Incomer_8420;JB1_TEM4.J_TEM_4_Main_Incomer_8420#Real Energy Into the Load#kWh;TEM4;Mains;Incoming
5;J_TEM_4_Mechanical_UPS_A;JB1_TEM4.J_TEM_4_Mechanical_UPS_A#Real Energy Into the Load#kWh;TEM4;HVAC;Outgoing
6;J_TEM_4_Mechanical_UPS_B;JB1_TEM4.J_TEM_4_Mechanical_UPS_B#Real Energy Into the Load#kWh;TEM4;HVAC;Outgoing
7;J_TEM_4_UPS_System_A;JB1_TEM4.J_TEM_4_UPS_System_A#Real Energy Into the Load#kWh;TEM4;UPS;Outgoing
8;J_TEM_4_UPS_System_B;JB1_TEM4.J_TEM_4_UPS_System_B#Real Energy Into the Load#kWh;TEM4;UPS;Outgoing
9;J_TEM_5_Gen_A_Supply;JB1_TEM5.J_TEM_5_Gen_A_Supply#Real Energy Into the Load#kWh;TEM5;Generator;Incoming
10;J_TEM_5_Gen_B_Supply;JB1_TEM5.J_TEM_5_Gen_B_Supply#Real Energy Into the Load#kWh;TEM5;Generator;Incoming
11;J_TEM_5_Gen_C_Supply;JB1_TEM5.J_TEM_5_Gen_C_Supply#Real Energy Into the Load#kWh;TEM5;Generator;Incoming
12;J_TEM_5_HVAC_Ssystem_A;JB1_TEM5.J_TEM_5_HVAC_Ssystem_A#Real Energy Into the Load#kWh;TEM5;HVAC;Outgoing
13;J_TEM_5_HVAC_System_B;JB1_TEM5.J_TEM_5_HVAC_System_B#Real Energy Into the Load#kWh;TEM5;HVAC;Outgoing
14;J_TEM_5_HVAC_System_C;JB1_TEM5.J_TEM_5_HVAC_System_C#Real Energy Into the Load#kWh;TEM5;HVAC;Outgoing
15;J_TEM_5_Main_Incomer_LSVP;JB1_TEM5.J_TEM_5_Main_Incomer_LSVP#Real Energy Into the Load#kWh;TEM5;Mains;Incoming
16;J_TEM_5_GCL_UPS_System_B;JB1_TEM5.J_TEM_5_GCL_UPS_System_B#Real Energy Into the Load#kWh;TEM5;HVAC;Outgoing
17;J_TEM_5_GCL_UPS_System_C;JB1_TEM5.J_TEM_5_GCL_UPS_System_C#Real Energy Into the Load#kWh;TEM5;HVAC;Outgoing
18;J_TEM_5A_UPS_System_A;JB1_TEM5.J_TEM_5A_UPS_System_A#Real Energy Into the Load#kWh;TEM5;UPS;Outgoing
19;J_TEM_5B_UPS_System_B;JB1_TEM5.J_TEM_5B_UPS_System_B#Real Energy Into the Load#kWh;TEM5;UPS;Outgoing
20;J_TEM_5C_UPS_System_C;JB1_TEM5.J_TEM_5C_UPS_System_C#Real Energy Into the Load#kWh;TEM5;UPS;Outgoing
21;J_TEM5_GCL_UPS_System_A;JB1_TEM5.J_TEM5_GCL_UPS_System_A#Real Energy Into the Load#kWh;TEM5;HVAC;Outgoing
22;J_TEM_6_Generator_A_Supply;JB1_TEM6.J_TEM_6_Generator_A_Supply#Real Energy Into the Load#kWh;TEM6;Generator;Incoming
23;J_TEM_6_Generator_B_Supply;JB1_TEM6.J_TEM_6_Generator_B_Supply#Real Energy Into the Load#kWh;TEM6;Generator;Incoming
24;J_TEM_6_Generator_C_Supply;JB1_TEM6.J_TEM_6_Generator_C_Supply#Real Energy Into the Load#kWh;TEM6;Generator;Incoming
25;J_TEM_6_HVAC_System_A;JB1_TEM6.J_TEM_6_HVAC_System_A#Real Energy Into the Load#kWh;TEM6;HVAC;Outgoing
26;J_TEM_6_HVAC_System_B;JB1_TEM6.J_TEM_6_HVAC_System_B#Real Energy Into the Load#kWh;TEM6;HVAC;Outgoing
27;J_TEM_6_HVAC_System_C;JB1_TEM6.J_TEM_6_HVAC_System_C#Real Energy Into the Load#kWh;TEM6;HVAC;Outgoing
28;J_TEM_6_Main_Incomer_HT;JB1_TEM6.J_TEM_6_Main_Incomer_HT#Real Energy Into the Load#kWh;TEM6;Mains;Incoming
29;J_TEM_6_Mechanical_UPS_A;JB1_TEM6.J_TEM_6_Mechanical_UPS_A#Real Energy Into the Load#kWh;TEM6;HVAC;Outgoing
30;J_TEM_6_Mechanical_UPS_B;JB1_TEM6.J_TEM_6_Mechanical_UPS_B#Real Energy Into the Load#kWh;TEM6;HVAC;Outgoing
31;J_TEM_6_Mechanical_UPS_C;JB1_TEM6.J_TEM_6_Mechanical_UPS_C#Real Energy Into the Load#kWh;TEM6;HVAC;Outgoing
32;J_TEM_6_UPS_System_A;JB1_TEM6.J_TEM_6_UPS_System_A#Real Energy Into the Load#kWh;TEM6;UPS;Outgoing
33;J_TEM_6_UPS_System_B;JB1_TEM6.J_TEM_6_UPS_System_B#Real Energy Into the Load#kWh;TEM6;UPS;Outgoing
34;J_TEM_6_UPS_System_C;JB1_TEM6.J_TEM_6_UPS_System_C#Real Energy Into the Load#kWh;TEM6;UPS;Outgoing
35;J_TEM_7_Generator_A_Supply;JB1_TEM7.J_TEM_7_Generator_A_Supply#Real Energy Into the Load#kWh;TEM7;Generator;Incoming
36;J_TEM_7_Generator_B_Supply;JB1_TEM7.J_TEM_7_Generator_B_Supply#Real Energy Into the Load#kWh;TEM7;Generator;Incoming
37;J_TEM_7_Generator_C_Supply;JB1_TEM7.J_TEM_7_Generator_C_Supply#Real Energy Into the Load#kWh;TEM7;Generator;Incoming
38;J_TEM_7_HVAC_B;JB1_TEM7.J_TEM_7_HVAC_B#Real Energy Into the Load#kWh;TEM7;HVAC;Outgoing
39;J_TEM_7_HVAC_C;JB1_TEM7.J_TEM_7_HVAC_C#Real Energy Into the Load#kWh;TEM7;HVAC;Outgoing
40;J_TEM_7_Hvac_System_A;JB1_TEM7.J_TEM_7_Hvac_System_A#Real Energy Into the Load#kWh;TEM7;HVAC;Outgoing
41;J_TEM_7_Main_Incomer_HT;JB1_TEM7.J_TEM_7_Main_Incomer_HT#Real Energy Into the Load#kWh;TEM7;Mains;Incoming
42;J_TEM_7_CCL_UPS_A;JB1_TEM7.J_TEM_7_CCL_UPS_A#Real Energy Into the Load#kWh;TEM7;UPS;Outgoing
43;J_TEM_7_CCL_UPS_B;JB1_TEM7.J_TEM_7_CCL_UPS_B#Real Energy Into the Load#kWh;TEM7;UPS;Outgoing
44;J_TEM_7_CCL_UPS_C;JB1_TEM7.J_TEM_7_CCL_UPS_C#Real Energy Into the Load#kWh;TEM7;UPS;Outgoing
45;J_TEM_7_GCL_UPS_A;JB1_TEM7.J_TEM_7_GCL_UPS_A#Real Energy Into the Load#kWh;TEM7;HVAC;Outgoing
