Description:,"Celsius-based cooling degree days with base temperatures at and around 16 C"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Cape Town, Cape Town International Airport, ZA (18.60E,33.96S)"
Station ID:,FACT
,(Column titles show the base temperature in Celsius)
Date,CDD 13,CDD 13.5,CDD 14,CDD 14.5,CDD 15,CDD 15.5,CDD 16,CDD 16.5,CDD 17,CDD 17.5,CDD 18,CDD 18.5,CDD 19,% Estimated
2021-03-01,8.9,8.4,7.9,7.4,6.9,6.4,5.9,5.4,4.9,4.5,4.1,3.7,3.4,0
2021-03-02,7.4,6.9,6.4,5.9,5.4,4.9,4.4,3.9,3.4,2.9,2.5,2.1,1.8,0
2021-03-03,7.8,7.3,6.8,6.3,5.8,5.3,4.8,4.3,3.8,3.5,3.2,2.8,2.5,0
2021-03-04,6.6,6.1,5.6,5.1,4.6,4.1,3.6,3.1,2.6,2.1,1.6,1.3,1,0
2021-03-05,7.8,7.3,6.8,6.3,5.8,5.3,4.9,4.4,3.9,3.5,3.1,2.7,2.4,0
2021-03-06,7.1,6.6,6.1,5.6,5.1,4.7,4.2,3.8,3.4,3,2.7,2.4,2.1,0
2021-03-07,5,4.5,4,3.5,3,2.5,2,1.5,1.1,0.8,0.5,0.3,0.2,0
2021-03-08,4.9,4.4,3.9,3.4,2.9,2.5,2,1.6,1.3,1,0.8,0.6,0.4,0
2021-03-09,5,4.5,4,3.5,3.1,2.6,2.3,1.9,1.6,1.3,1,0.7,0.5,0
2021-03-10,5.9,5.4,4.9,4.4,3.9,3.4,2.9,2.4,1.9,1.4,1,0.6,0.3,0
2021-03-11,6.7,6.2,5.7,5.2,4.7,4.2,3.8,3.4,3,2.7,2.4,2,1.7,1
2021-03-12,6.7,6.2,5.7,5.2,4.7,4.2,3.8,3.4,3,2.7,2.4,2.2,1.9,0
2021-03-13,7,6.5,6,5.5,5,4.5,4.1,3.7,3.4,3.1,2.7,2.4,2.1,0
2021-03-14,6.9,6.4,5.9,5.4,4.9,4.4,3.9,3.4,2.9,2.4,1.9,1.4,1,0
2021-03-15,4.8,4.3,3.8,3.3,2.8,2.3,1.8,1.4,1,0.7,0.4,0.2,0.1,0
2021-03-16,6.6,6.1,5.6,5.1,4.6,4.1,3.6,3.1,2.7,2.3,1.9,1.6,1.3,1
2021-03-17,7.9,7.4,6.9,6.4,5.9,5.4,4.9,4.4,3.9,3.5,3.1,2.8,2.5,0
2021-03-18,5.6,5.1,4.6,4.1,3.6,3.2,2.8,2.4,2,1.7,1.3,1.1,0.8,0
2021-03-19,6,5.5,5,4.5,4,3.5,3.1,2.6,2.2,1.9,1.5,1.2,0.9,0
2021-03-20,6.2,5.7,5.2,4.7,4.2,3.7,3.2,2.7,2.2,1.7,1.2,0.9,0.7,0
2021-03-21,7.5,7,6.5,6,5.5,5,4.5,4,3.5,3,2.6,2.3,2.1,0
2021-03-22,7.7,7.3,6.8,6.4,5.9,5.5,5.1,4.7,4.3,3.9,3.6,3.3,2.9,0
2021-03-23,10.3,9.8,9.3,8.8,8.3,7.8,7.3,6.8,6.3,5.8,5.3,4.9,4.5,0
2021-03-24,9.3,8.8,8.3,7.8,7.3,6.8,6.3,5.8,5.3,4.8,4.4,3.9,3.5,0
2021-03-25,8.8,8.3,7.8,7.3,6.8,6.3,5.8,5.4,5,4.7,4.3,4.1,3.8,0
2021-03-26,6.7,6.2,5.7,5.2,4.7,4.2,3.7,3.2,2.8,2.3,1.9,1.6,1.2,0
2021-03-27,4.5,4,3.5,3,2.5,2.1,1.6,1.2,0.9,0.7,0.5,0.3,0.2,0
2021-03-28,5.8,5.4,5,4.7,4.3,4,3.7,3.3,3,2.7,2.4,2.1,1.8,0
2021-03-29,7.8,7.3,6.8,6.3,5.9,5.5,5.1,4.7,4.4,4.1,3.8,3.5,3.3,0
2021-03-30,5.4,4.9,4.4,3.9,3.4,2.9,2.4,2,1.7,1.4,1.2,1,0.8,0
2021-03-31,4.1,3.6,3.1,2.6,2.1,1.6,1.2,0.8,0.5,0.3,0.2,0.1,0.1,0
2021-04-01,4.8,4.3,3.8,3.3,2.8,2.4,2,1.6,1.3,1.1,0.9,0.7,0.5,0
2021-04-02,5.2,4.7,4.2,3.7,3.2,2.7,2.2,1.9,1.5,1.2,1,0.8,0.6,1
2021-04-03,5.5,5.1,4.7,4.3,4,3.7,3.3,3,2.7,2.5,2.2,2,1.8,0
2021-04-04,6.3,5.8,5.3,4.8,4.3,3.8,3.3,2.8,2.3,1.9,1.4,1.2,1,0
2021-04-05,5.2,4.7,4.2,3.7,3.2,2.7,2.2,1.7,1.2,0.9,0.7,0.5,0.3,0
2021-04-06,5.5,5,4.5,4,3.7,3.3,3,2.7,2.4,2.2,2,1.8,1.6,0
2021-04-07,4.8,4.3,3.8,3.3,2.8,2.4,2.1,1.8,1.6,1.4,1.2,1,0.8,0
2021-04-08,5,4.5,4,3.5,3,2.6,2.2,1.9,1.6,1.3,1,0.8,0.6,0
2021-04-09,6.3,5.8,5.3,4.8,4.3,3.8,3.3,2.8,2.3,2,1.7,1.4,1.2,0
2021-04-10,5.6,5.1,4.6,4.1,3.6,3.1,2.7,2.4,2.1,1.8,1.5,1.3,1.1,0
2021-04-11,5.6,5.1,4.6,4.1,3.6,3.1,2.6,2.2,1.8,1.5,1.3,1,0.8,0
2021-04-12,4.9,4.5,4.1,3.6,3.2,2.9,2.5,2.2,1.9,1.7,1.5,1.3,1.2,1
2021-04-13,5.5,5,4.6,4.2,3.8,3.4,3.1,2.7,2.4,2.2,2.1,1.9,1.7,0
2021-04-14,5.3,4.8,4.3,3.8,3.3,2.8,2.4,2,1.7,1.4,1.2,1,0.8,0
2021-04-15,6.5,6,5.5,5,4.5,4,3.5,3.1,2.8,2.5,2.2,1.9,1.6,0
2021-04-16,6.4,5.9,5.5,5,4.6,4.2,3.8,3.4,3.1,2.8,2.5,2.3,2.1,0
2021-04-17,5.2,4.8,4.4,4.2,3.9,3.7,3.5,3.3,3.1,2.9,2.7,2.5,2.3,0
2021-04-18,9,8.6,8.2,7.8,7.4,7.1,6.8,6.4,6.1,5.8,5.4,5.1,4.9,0
2021-04-19,6.1,5.6,5.1,4.6,4.1,3.6,3.1,2.7,2.3,1.9,1.5,1.3,1.1,0
2021-04-20,5,4.5,4.1,3.6,3.2,2.8,2.5,2.3,2.1,1.9,1.7,1.5,1.3,0
2021-04-21,4.6,4.2,3.8,3.5,3.1,2.8,2.5,2.2,1.9,1.6,1.4,1.2,1,0
2021-04-22,3.1,2.7,2.3,2.1,1.9,1.7,1.5,1.3,1.1,1,0.8,0.7,0.5,0
2021-04-23,3.4,2.9,2.5,2.2,1.9,1.7,1.5,1.3,1.1,0.9,0.7,0.5,0.4,0
2021-04-24,3.8,3.3,2.8,2.3,1.9,1.7,1.4,1.2,1,0.9,0.7,0.6,0.4,0
2021-04-25,4.4,4,3.5,3.1,2.8,2.4,2.1,1.9,1.6,1.5,1.3,1.1,0.9,0
2021-04-26,4.6,4.1,3.6,3.1,2.6,2.1,1.7,1.3,1,0.8,0.6,0.4,0.3,0
2021-04-27,4.3,3.8,3.3,2.8,2.3,1.9,1.5,1.2,1,0.8,0.6,0.5,0.4,0
2021-04-28,2.4,2.1,1.8,1.5,1.2,1,0.8,0.7,0.5,0.3,0.2,0.1,0,0
2021-04-29,2,1.7,1.4,1.2,1,0.8,0.7,0.5,0.4,0.2,0.1,0.1,0,0
2021-04-30,2.6,2.2,1.8,1.5,1.2,1,0.8,0.7,0.5,0.3,0.2,0.1,0,0
2021-05-01,2.6,2.2,2,1.7,1.5,1.3,1.1,0.9,0.8,0.6,0.5,0.4,0.3,0
2021-05-02,5.8,5.5,5.2,4.9,4.5,4.2,3.9,3.6,3.3,3,2.7,2.5,2.3,0
2021-05-03,8.2,7.9,7.5,7.2,6.8,6.5,6.1,5.8,5.4,5.1,4.8,4.4,4.1,0
2021-05-04,4.3,3.8,3.4,2.9,2.5,2,1.6,1.3,1,0.7,0.5,0.3,0.2,0
2021-05-05,2.5,2.1,1.6,1.3,1.1,0.9,0.7,0.5,0.4,0.3,0.2,0.1,0.1,0
2021-05-06,2,1.5,1,0.7,0.5,0.3,0.2,0.1,0,0,0,0,0,0
2021-05-07,3.1,2.6,2.1,1.6,1.1,0.8,0.5,0.2,0.1,0,0,0,0,0
2021-05-08,2.7,2.3,2,1.7,1.5,1.3,1,0.9,0.7,0.5,0.4,0.3,0.2,0
2021-05-09,3.1,2.8,2.5,2.2,1.9,1.6,1.3,1,0.7,0.5,0.4,0.2,0.1,0
2021-05-10,2.8,2.4,2.1,1.8,1.5,1.2,1,0.8,0.6,0.5,0.4,0.3,0.2,0
2021-05-11,2.1,1.8,1.5,1.3,1.2,1,0.9,0.7,0.6,0.4,0.3,0.2,0.1,0
2021-05-12,2.6,2.3,2,1.7,1.5,1.3,1.1,0.9,0.8,0.6,0.5,0.3,0.2,0
2021-05-13,2.4,2.2,1.9,1.7,1.5,1.3,1.1,0.9,0.8,0.6,0.4,0.3,0.2,0
2021-05-14,3.4,3.1,2.8,2.4,2.1,1.8,1.5,1.2,0.9,0.6,0.3,0.2,0.1,0
2021-05-15,3.2,2.7,2.2,1.8,1.4,1,0.7,0.4,0.1,0,0,0,0,0
2021-05-16,1.2,1,0.8,0.6,0.4,0.3,0.2,0.1,0,0,0,0,0,0
2021-05-17,1.2,1,0.9,0.7,0.5,0.4,0.3,0.1,0,0,0,0,0,0
2021-05-18,2.5,2.2,2,1.8,1.6,1.4,1.2,1.1,0.9,0.7,0.6,0.5,0.3,0
2021-05-19,2.3,1.9,1.6,1.4,1.1,0.9,0.6,0.5,0.3,0.2,0.1,0.1,0,0
2021-05-20,1.2,0.9,0.6,0.3,0.1,0,0,0,0,0,0,0,0,0
2021-05-21,0.8,0.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0
2021-05-22,0.8,0.7,0.5,0.4,0.3,0.2,0.1,0,0,0,0,0,0,0
2021-05-23,4.7,4.4,4.1,3.8,3.5,3.2,3,2.7,2.5,2.2,2,1.8,1.6,0
2021-05-24,4,3.5,3,2.5,2,1.6,1.2,0.9,0.7,0.5,0.3,0.2,0.1,0
