,DB1_TEM1.D_TEM_1_Main_Incomer_8420#Real Energy Into the Load#kWh,DB1_TEM1.DB1_TEM1_Gen_Total_Load_MLVA#Real Energy Into the Load#kWh,DB1_TEM1.DB1_TEM1_Gen_Total_Load_MLVB#Real Energy Into the Load#kWh,DB1_TEM1.DB1_TEM1_HVAC_A_Supply#Real Energy Into the Load#kWh,DB1_TEM1.DB1_TEM1_HVAC_B_Supply#Real Energy Into the Load#kWh,DB1_TEM1.DB1_TEM1_UPS_A_Supply#Real Energy Into the Load#kWh,DB1_TEM1.DB1_TEM1_UPS_B_Supply#Real Energy Into the Load#kWh,Timestamp
0,,,,4757907.828,2685837.142,6252279.161,5149943.759,2021-01-01 00:15:00
1,8081080.0,,,4757930.992,2685855.362,6252325.465,5149979.129,2021-01-01 00:30:00
2,,,,4757951.11,2685871.623,6252367.584,5150015.736,2021-01-01 00:45:00
3,8081342.0,,,4757974.629,2685887.368,6252407.9,5150054.992,2021-01-01 01:00:00
4,,,,4757994.696,2685902.936,6252453.913,5150089.217,2021-01-01 01:15:00
5,8081600.5,,,4758015.471,2685921.229,6252495.627,5150129.518,2021-01-01 01:30:00
6,,,,4758038.247,2685937.296,6252541.87,5150163.667,2021-01-01 01:45:00
7,8081858.5,,,4758058.014,2685954.881,6252582.284,5150202.752,2021-01-01 02:00:00
8,,,,4758080.606,2685970.256,6252628.173,5150238.219,2021-01-01 02:15:00
9,8082114.5,,,4758101.117,2685986.178,6252669.709,5150274.89,2021-01-01 02:30:00
10,,,,4758123.681,2686003.757,6252711.605,5150309.329,2021-01-01 02:45:00
11,8082374.0,,,4758143.518,2686019.564,6252757.787,5150345.594,2021-01-01 03:00:00
12,,,,4758164.007,2686037.194,6252797.962,5150386.29,2021-01-01 03:15:00
13,8082631.0,,,4758186.826,2686052.878,6252843.446,5150420.83,2021-01-01 03:30:00
14,,,,4758207.343,2686068.372,6252886.057,5150455.265,2021-01-01 03:45:00
15,8082886.5,,,4758227.763,2686086.315,6252925.787,5150494.72,2021-01-01 04:00:00
16,,,,4758250.409,2686101.556,6252971.381,5150530.397,2021-01-01 04:15:00
17,8083143.5,,,4758270.96,2686117.312,6253012.652,5150569.763,2021-01-01 04:30:00
18,,,,4758293.56,2686134.657,6253052.551,5150605.463,2021-01-01 04:45:00
19,8083399.0,,,4758313.889,2686149.797,6253093.666,5150640.823,2021-01-01 05:00:00
20,,,,4758333.524,2686167.064,6253139.071,5150680.461,2021-01-01 05:15:00
21,8083654.0,,,4758356.006,2686182.743,6253179.991,5150714.899,2021-01-01 05:30:00
22,,,,4758376.011,2686197.841,6253225.558,5150754.298,2021-01-01 05:45:00
23,8083911.5,,,4758396.79,2686214.994,6253267.924,5150789.932,2021-01-01 06:00:00
24,,,,4758417.09,2686230.552,6253308.814,5150824.371,2021-01-01 06:15:00
25,8084166.0,,,4758440.746,2686248.104,6253348.291,5150860.163,2021-01-01 06:30:00
26,,,,4758460.476,2686263.746,6253394.867,5150900.715,2021-01-01 06:45:00
27,8084418.5,,,4758478.187,2686278.678,6253435.785,5150935.25,2021-01-01 07:00:00
28,,,,4758497.748,2686295.733,6253475.391,5150975.9,2021-01-01 07:15:00
29,8084673.0,,,4758520.805,2686310.67,6253521.897,5151010.429,2021-01-01 07:30:00
30,,,,4758540.408,2686327.69,6253562.992,5151049.926,2021-01-01 07:45:00
31,8084928.0,,,4758561.392,2686343.152,6253602.848,5151085.684,2021-01-01 08:00:00
32,,,,4758583.898,2686358.019,6253644.111,5151120.284,2021-01-01 08:15:00
33,8085183.5,,,4758603.488,2686375.53,6253691.616,5151156.039,2021-01-01 08:30:00
34,,,,4758624.985,2686390.322,6253732.633,5151196.512,2021-01-01 08:45:00
35,8085438.5,,,4758645.733,2686407.185,6253773.657,5151231.395,2021-01-01 09:00:00
36,,,,4758665.927,2686421.814,6253818.858,5151267.248,2021-01-01 09:15:00
37,8085693.0,,,4758685.716,2686438.48,6253858.54,5151306.785,2021-01-01 09:30:00
38,,,,4758704.367,2686453.999,6253898.354,5151342.641,2021-01-01 09:45:00
39,8085943.0,,,4758723.571,2686468.663,6253944.904,5151382.221,2021-01-01 10:00:00
40,,,,4758742.958,2686483.822,6253986.07,5151417.371,2021-01-01 10:15:00
41,8086198.5,,,4758763.642,2686500.552,6254027.068,5151452.751,2021-01-01 10:30:00
42,,,,4758781.042,2686514.507,6254068.181,5151493.578,2021-01-01 10:45:00
43,8086450.0,,,4758801.109,2686529.915,6254113.891,5151528.27,2021-01-01 11:00:00
44,,,,4758821.555,2686546.833,6254155.418,5151567.913,2021-01-01 11:15:00
45,8086709.0,,,4758844.114,2686561.544,6254196.692,5151602.54,2021-01-01 11:30:00
46,,,,4758864.867,2686576.731,6254243.848,5151642.115,2021-01-01 11:45:00
47,8086970.0,,,4758884.54,2686593.451,6254284.661,5151678.011,2021-01-01 12:00:00
48,,,,4758907.248,2686608.064,6254325.136,5151712.646,2021-01-01 12:15:00
49,8087230.0,,,4758927.012,2686625.177,6254370.532,5151753.513,2021-01-01 12:30:00
50,,,,4758948.915,2686640.015,6254413.026,5151788.209,2021-01-01 12:45:00
51,8087487.5,,,4758968.33,2686655.394,6254454.111,5151824.036,2021-01-01 13:00:00
52,,,,4758991.579,2686671.998,6254499.566,5151863.654,2021-01-01 13:15:00
53,8087742.5,,,4759011.547,2686686.972,6254541.963,5151899.398,2021-01-01 13:30:00
54,,,,4759031.683,2686701.957,6254581.669,5151935.452,2021-01-01 13:45:00
55,8087996.0,,,4759051.731,2686718.466,6254623.731,5151974.998,2021-01-01 14:00:00
56,,,,4759072.497,2686733.502,6254665.132,5152009.695,2021-01-01 14:15:00
57,8088248.5,,,4759093.779,2686748.299,6254712.025,5152045.283,2021-01-01 14:30:00
58,,,,4759113.907,2686764.7,6254751.756,5152081.411,2021-01-01 14:45:00
59,8088501.0,,,4759134.446,2686779.101,6254791.94,5152122.243,2021-01-01 15:00:00
60,,,,4759152.539,2686795.512,6254838.137,5152158.172,2021-01-01 15:15:00
61,8088752.0,,,4759174.067,2686810.297,6254878.579,5152197.807,2021-01-01 15:30:00
62,,,,4759193.052,2686820.767,6254918.974,5152233.657,2021-01-01 15:45:00
63,8088991.5,,,4759212.516,2686830.445,6254964.44,5152269.598,2021-01-01 16:00:00
64,,,,4759233.292,2686841.65,6255004.995,5152305.228,2021-01-01 16:15:00
65,8089235.0,,,4759256.443,2686851.368,6255051.266,5152345.21,2021-01-01 16:30:00
66,,,,4759277.808,2686861.449,6255092.472,5152380.232,2021-01-01 16:45:00
67,8089481.0,,,4759300.481,2686872.447,6255132.399,5152420.731,2021-01-01 17:00:00
68,,,,4759326.258,2686882.262,6255174.311,5152457.633,2021-01-01 17:15:00
69,8089728.5,,,4759348.096,2686893.726,6255222.833,5152491.894,2021-01-01 17:30:00
70,,,,4759377.031,2686901.419,6255263.352,5152526.187,2021-01-01 17:45:00
71,8089980.0,,,4759403.755,2686907.97,6255309.8,5152566.528,2021-01-01 18:00:00
72,,,,4759430.476,2686915.763,6255351.864,5152600.795,2021-01-01 18:15:00
73,8090234.0,,,4759461.0,2686922.379,6255393.765,5152639.963,2021-01-01 18:30:00
74,,,,4759487.32,2686928.854,6255434.547,5152674.265,2021-01-01 18:45:00
75,8090483.0,,,4759512.206,2686937.858,6255482.612,5152713.476,2021-01-01 19:00:00
76,,,,4759539.39,2686947.165,6255523.668,5152747.79,2021-01-01 19:15:00
77,8090729.0,,,4759561.51,2686954.967,6255565.881,5152786.99,2021-01-01 19:30:00
78,,,,4759585.281,2686964.007,6255613.521,5152821.407,2021-01-01 19:45:00
79,8090970.0,,,4759607.024,2686971.699,6255651.052,5152857.163,2021-01-01 20:00:00
80,,,,4759631.115,2686979.324,6255696.91,5152898.075,2021-01-01 20:15:00
81,8091217.5,,,4759658.698,2686988.526,6255736.982,5152932.801,2021-01-01 20:30:00
82,,,,4759682.703,2686996.565,6255784.49,5152968.814,2021-01-01 20:45:00
83,8091462.0,,,4759706.678,2687004.487,6255826.187,5153004.78,2021-01-01 21:00:00
84,,,,4759731.096,2687012.123,6255867.752,5153045.656,2021-01-01 21:15:00
85,8091704.5,,,4759754.836,2687021.061,6255909.328,5153080.456,2021-01-01 21:30:00
