Description:,"Celsius-based cooling degree days with base temperatures at and around 18 C"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Johannesburg International Airport, ZA (28.25E,26.14S)"
Station ID:,FAJS
,(Column titles show the base temperature in Celsius)
Week starting,CDD 15,CDD 15.5,CDD 16,CDD 16.5,CDD 17,CDD 17.5,CDD 18,CDD 18.5,CDD 19,CDD 19.5,CDD 20,CDD 20.5,CDD 21,% Estimated
2020-03-01,17,15.1,13.2,11.5,10.1,8.8,7.5,6.5,5.5,4.4,3.6,2.9,2.2,4
2020-03-08,26.6,23.6,21.1,18.5,16.3,14.2,12.2,10.4,8.9,7.5,6.3,5.2,4.1,6
2020-03-15,25.2,22.4,19.8,17.4,15.3,13.4,11.8,10.1,8.7,7.3,6,4.9,3.9,5
2020-03-22,23.7,21.2,19.2,16.9,15.1,13.4,11.5,9.9,8.6,7,6,5.1,4.2,4
2020-03-29,10.8,9.1,7.8,6.5,5.3,4.3,3.4,2.6,2,1.4,0.9,0.6,0.4,4
2020-04-05,12.7,10.9,9.3,7.7,6.4,5.3,4.4,3.5,2.7,2.2,1.7,1.3,0.9,4
2020-04-12,15.2,13.3,11.7,9.9,8.5,7.1,5.9,4.7,3.8,2.8,2,1.5,1.1,4
2020-04-19,14.8,12.9,11.4,9.8,8.4,7.1,5.7,4.6,3.4,2.6,1.6,1,0.6,4
2020-04-26,6.3,5.3,4.5,3.7,2.8,2.3,1.6,1.3,0.8,0.6,0.3,0.2,0.1,4
2020-05-03,9.8,8.3,7,5.9,5,3.8,2.9,2.1,1.5,0.9,0.5,0.2,0.1,5
2020-05-10,8,6.8,5.5,4.6,3.5,2.7,2,1.3,0.7,0.2,0.2,0,0,4
2020-05-17,7.3,6.1,5,3.7,3,2.1,1.4,0.8,0.6,0.3,0,0,0,3
2020-05-24,3.1,2.4,1.9,1.4,1,0.7,0.5,0.4,0.3,0.2,0.1,0,0,4
2020-05-31,8.9,7.7,6.6,5.6,4.7,3.7,2.9,2.2,1.6,1.1,0.8,0.4,0.2,4
2020-06-07,1.8,1.3,0.8,0.4,0.2,0,0,0,0,0,0,0,0,4
2020-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-06-21,0.8,0.4,0.2,0.1,0,0,0,0,0,0,0,0,0,3
2020-06-28,1.7,1.1,0.7,0.3,0.1,0,0,0,0,0,0,0,0,4
2020-07-05,3.9,3.2,2.6,2.3,1.8,1.4,1.1,0.8,0.6,0.4,0.3,0.1,0,4
2020-07-12,2.5,1.9,1.6,1.2,0.9,0.7,0.4,0.3,0.2,0.1,0,0,0,3
2020-07-19,4.1,3.4,2.7,2.1,1.6,1.3,0.8,0.5,0.3,0.2,0.1,0,0,5
2020-07-26,3.8,3.2,2.4,1.9,1.5,1,0.7,0.4,0.2,0.1,0,0,0,4
2020-08-02,5.7,4.9,4,3.2,2.6,2,1.4,0.9,0.4,0.3,0.1,0,0,4
2020-08-09,7.9,6.5,5.5,4.5,3.3,2.5,1.9,1.1,0.8,0.4,0.2,0.1,0,3
