Column1,Name,Full Name,TEM,Type,Energy Flow
6,J2_TEM_1_HVAC_System_A,JB2_TEM1.J2_TEM_1_HVAC_System_A#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
7,J2_TEM_1_HVAC_System_B,JB2_TEM1.J2_TEM_1_HVAC_System_B#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
8,J2_TEM_1_HVAC_System_C,JB2_TEM1.J2_TEM_1_HVAC_System_C#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
3,J2_TEM_1_GEN_A_Supply,JB2_TEM1.J2_TEM_1_GEN_A_Supply#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
4,J2_TEM_1_GEN_B_Supply,JB2_TEM1.J2_TEM_1_GEN_B_Supply#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
5,J2_TEM_1_GEN_C_Supply,JB2_TEM1.J2_TEM_1_GEN_C_Supply#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
9,J2_TEM_1_Main_Incomer_HT,JB2_TEM1.J2_TEM_1_Main_Incomer_HT#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
0,J2_TEM_1_GCL_UPS_System_A,JB2_TEM1.J2_TEM_1_GCL_UPS_System_A#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
1,J2_TEM_1_GCL_UPS_System_B,JB2_TEM1.J2_TEM_1_GCL_UPS_System_B#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
2,J2_TEM_1_GCL_UPS_System_C,JB2_TEM1.J2_TEM_1_GCL_UPS_System_C#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
14,J2_TEM_1_UPS_System_A,JB2_TEM1.J2_TEM_1_UPS_System_A#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
15,J2_TEM_1_UPS_System_B,JB2_TEM1.J2_TEM_1_UPS_System_B#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
16,J2_TEM_1_UPS_System_C,JB2_TEM1.J2_TEM_1_UPS_System_C#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
17,JB2_TEM2_GCL_UPS_System_A,JB2_TEM2.JB2_TEM2_GCL_UPS_System_A#Real Energy Into the Load#kWh,Loop 1,HVAC,Outgoing
18,JB2_TEM2_GCL_UPS_System_B,JB2_TEM2.JB2_TEM2_GCL_UPS_System_B#Real Energy Into the Load#kWh,Loop 1,HVAC,Outgoing
19,JB2_TEM2_GCL_UPS_System_C,JB2_TEM2.JB2_TEM2_GCL_UPS_System_C#Real Energy Into the Load#kWh,Loop 1,HVAC,Outgoing
20,JB2_TEM2_Gen_A_Supply,JB2_TEM2.JB2_TEM2_Gen_A_Supply#Real Energy Into the Load#kWh,Loop 1,Generator,Incoming
21,JB2_TEM2_Gen_C_Supply,JB2_TEM2.JB2_TEM2_Gen_C_Supply#Real Energy Into the Load#kWh,Loop 1,Generator,Incoming
22,JB2_TEM2_Gen_Supply_B,JB2_TEM2.JB2_TEM2_Gen_Supply_B#Real Energy Into the Load#kWh,Loop 1,Generator,Incoming
23,JB2_TEM2_HVAC_System_A,JB2_TEM2.JB2_TEM2_HVAC_System_A#Real Energy Into the Load#kWh,Loop 1,HVAC,Outgoing
24,JB2_TEM2_HVAC_System_B,JB2_TEM2.JB2_TEM2_HVAC_System_B#Real Energy Into the Load#kWh,Loop 1,HVAC,Outgoing
25,JB2_TEM2_HVAC_System_C,JB2_TEM2.JB2_TEM2_HVAC_System_C#Real Energy Into the Load#kWh,Loop 1,HVAC,Outgoing
26,JB2_TEM2_Main_Incomer_HT,JB2_TEM2.JB2_TEM2_Main_Incomer_HT#Real Energy Into the Load#kWh,Loop 1,Mains,Incoming
31,JB2_TEM2_SDB_UPS,JB2_TEM2.JB2_TEM2_SDB_UPS#Real Energy Into the Load#kWh,Loop 1,GBL,Outgoing
32,JB2_TEM2_UPS_System_A,JB2_TEM2.JB2_TEM2_UPS_System_A#Real Energy Into the Load#kWh,Loop 1,UPS,Outgoing
33,JB2_TEM2_UPS_System_B,JB2_TEM2.JB2_TEM2_UPS_System_B#Real Energy Into the Load#kWh,Loop 1,UPS,Outgoing
34,JB2_TEM2_UPS_System_C,JB2_TEM2.JB2_TEM2_UPS_System_C#Real Energy Into the Load#kWh,Loop 1,UPS,Outgoing
35,J2_TEM3_Generator_A_Supply,JB2_TEM3.J2_TEM3_Generator_A_Supply#Real Energy Into the Load#kWh,Loop 1,Generator,Incoming
