;Name;Full Name;TEM;Type;Energy Flow
0;JB3_TEM8_Gen_Room_Gen_A_Supply;JB3_TEM8.JB3_TEM8_Gen_Room_Gen_A_Supply#Real Energy Into the Load#kWh;LOOP 1;Generator;Incoming
1;JB3_TEM8_Gen_Room_Gen_C_Supply;JB3_TEM8.JB3_TEM8_Gen_Room_Gen_C_Supply#Real Energy Into the Load#kWh;LOOP 1;Generator;Incoming
2;JB3_TEM8_Gen_Room_Gen_D_Supply;JB3_TEM8.JB3_TEM8_Gen_Room_Gen_D_Supply#Real Energy Into the Load#kWh;LOOP 1;Generator;Incoming
3;JB3_TEM8_Gen_Room_Gen_E_Supply;JB3_TEM8.JB3_TEM8_Gen_Room_Gen_E_Supply#Real Energy Into the Load#kWh;LOOP 1;Generator;Incoming
4;JB3_TEM8_Generator_B_Supply;JB3_TEM8.JB3_TEM8_Generator_B_Supply#Real Energy Into the Load#kWh;LOOP 1;Generator;Incoming
5;JB3_TEM8_HVAC_System_A;JB3_TEM8.JB3_TEM8_HVAC_System_A#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
6;JB3_TEM8_HVAC_System_B;JB3_TEM8.JB3_TEM8_HVAC_System_B#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
7;JB3_TEM8_HVAC_System_C;JB3_TEM8.JB3_TEM8_HVAC_System_C#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
8;JB3_TEM8_HVAC_System_D;JB3_TEM8.JB3_TEM8_HVAC_System_D#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
9;JB3_TEM8_HVAC_System_E;JB3_TEM8.JB3_TEM8_HVAC_System_E#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
10;JB3_TEM8_Main_Incomer_HT_A;JB3_TEM8.JB3_TEM8_Main_Incomer_HT_A#Real Energy Into the Load#kWh;LOOP 1;Mains;Incoming
11;JB3_TEM8_Main_Incomer_HT_B;JB3_TEM8.JB3_TEM8_Main_Incomer_HT_B#Real Energy Into the Load#kWh;LOOP 1;Mains;Incoming
12;JB3_TEM8_Main_Incomer_HT_C;JB3_TEM8.JB3_TEM8_Main_Incomer_HT_C#Real Energy Into the Load#kWh;LOOP 1;Mains;Incoming
13;JB3_TEM8_Main_Incomer_HT_D;JB3_TEM8.JB3_TEM8_Main_Incomer_HT_D#Real Energy Into the Load#kWh;LOOP 1;Mains;Incoming
14;JB3_TEM8_Main_Incomer_HT_E;JB3_TEM8.JB3_TEM8_Main_Incomer_HT_E#Real Energy Into the Load#kWh;LOOP 1;Mains;Incoming
15;JB3_TEM8_Mechanical_UPS_A;JB3_TEM8.JB3_TEM8_Mechanical_UPS_A#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
16;JB3_TEM8_Mechanical_UPS_B;JB3_TEM8.JB3_TEM8_Mechanical_UPS_B#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
17;JB3_TEM8_Mechanical_UPS_C;JB3_TEM8.JB3_TEM8_Mechanical_UPS_C#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
18;JB3_TEM8_Mechanical_UPS_D;JB3_TEM8.JB3_TEM8_Mechanical_UPS_D#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
19;JB3_TEM8_Mechanical_UPS_E;JB3_TEM8.JB3_TEM8_Mechanical_UPS_E#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
20;JB3_TEM8_UPS_System_A;JB3_TEM8.JB3_TEM8_UPS_System_A#Real Energy Into the Load#kWh;LOOP 1;UPS;Outgoing
21;JB3_TEM8_UPS_System_B;JB3_TEM8.JB3_TEM8_UPS_System_B#Real Energy Into the Load#kWh;LOOP 1;UPS;Outgoing
22;JB3_TEM8_UPS_System_C;JB3_TEM8.JB3_TEM8_UPS_System_C#Real Energy Into the Load#kWh;LOOP 1;UPS;Outgoing
23;JB3_TEM8_UPS_System_D;JB3_TEM8.JB3_TEM8_UPS_System_D#Real Energy Into the Load#kWh;LOOP 1;UPS;Outgoing
24;JB3_TEM8_UPS_System_E;JB3_TEM8.JB3_TEM8_UPS_System_E#Real Energy Into the Load#kWh;LOOP 1;UPS;Outgoing
25;JB3_TEM9_Gen_Room_Gen_B_Supply;JB3_TEM9.JB3_TEM9_Gen_Room_Gen_B_Supply#Real Energy Into the Load#kWh;LOOP 1;Generator;Incoming
26;JB3_TEM9_Gen_Room_Gen_E_Supply;JB3_TEM9.JB3_TEM9_Gen_Room_Gen_E_Supply#Real Energy Into the Load#kWh;LOOP 1;Generator;Incoming
27;JB3_TEM9_Generator_A_Supply;JB3_TEM9.JB3_TEM9_Generator_A_Supply#Real Energy Into the Load#kWh;LOOP 1;Generator;Incoming
28;JB3_TEM9_Generator_C_Supply;JB3_TEM9.JB3_TEM9_Generator_C_Supply#Real Energy Into the Load#kWh;LOOP 1;Generator;Incoming
29;JB3_TEM9_Generator_D_Supply;JB3_TEM9.JB3_TEM9_Generator_D_Supply#Real Energy Into the Load#kWh;LOOP 1;Generator;Incoming
30;JB3_TEM9_HVAC_System_A;JB3_TEM9.JB3_TEM9_HVAC_System_A#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
31;JB3_TEM9_HVAC_System_B;JB3_TEM9.JB3_TEM9_HVAC_System_B#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
32;JB3_TEM9_HVAC_System_C;JB3_TEM9.JB3_TEM9_HVAC_System_C#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
33;JB3_TEM9_HVAC_System_D;JB3_TEM9.JB3_TEM9_HVAC_System_D#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
34;JB3_TEM9_HVAC_System_E;JB3_TEM9.JB3_TEM9_HVAC_System_E#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
35;JB3_TEM9_Main_Incomer_HT_A;JB3_TEM9.JB3_TEM9_Main_Incomer_HT_A#Real Energy Into the Load#kWh;LOOP 1;Mains;Incoming
36;JB3_TEM9_Main_Incomer_HT_B;JB3_TEM9.JB3_TEM9_Main_Incomer_HT_B#Real Energy Into the Load#kWh;LOOP 1;Mains;Incoming
37;JB3_TEM9_Main_Incomer_HT_C;JB3_TEM9.JB3_TEM9_Main_Incomer_HT_C#Real Energy Into the Load#kWh;LOOP 1;Mains;Incoming
38;JB3_TEM9_Mechanical_UPS_A;JB3_TEM9.JB3_TEM9_Mechanical_UPS_A#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
39;JB3_TEM9_Mechanical_UPS_B;JB3_TEM9.JB3_TEM9_Mechanical_UPS_B#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
40;JB3_TEM9_Mechanical_UPS_C;JB3_TEM9.JB3_TEM9_Mechanical_UPS_C#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
41;JB3_TEM9_Mechanical_UPS_D;JB3_TEM9.JB3_TEM9_Mechanical_UPS_D#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
42;JB3_TEM9_Mechanical_UPS_E;JB3_TEM9.JB3_TEM9_Mechanical_UPS_E#Real Energy Into the Load#kWh;LOOP 1;HVAC;Outgoing
43;JB3_TEM9_Substation_D_HT;JB3_TEM9.JB3_TEM9_Substation_D_HT#Real Energy Into the Load#kWh;LOOP 1;Mains;Incoming
44;JB3_TEM9_Substation_E_HT;JB3_TEM9.JB3_TEM9_Substation_E_HT#Real Energy Into the Load#kWh;LOOP 1;Mains;Incoming
45;JB3_TEM9_UPS_System_A;JB3_TEM9.JB3_TEM9_UPS_System_A#Real Energy Into the Load#kWh;LOOP 1;UPS;Outgoing
46;JB3_TEM9_UPS_System_B;JB3_TEM9.JB3_TEM9_UPS_System_B#Real Energy Into the Load#kWh;LOOP 1;UPS;Outgoing
47;JB3_TEM9_UPS_System_C;JB3_TEM9.JB3_TEM9_UPS_System_C#Real Energy Into the Load#kWh;LOOP 1;UPS;Outgoing
