Description:,"Celsius-based cooling degree days with a base temperature of 18 C"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Johannesburg International Airport, ZA (28.25E,26.14S)"
Station ID:,FAJS

Week starting,CDD 18,% Estimated
2019-03-31,7.2,6
2019-04-07,2.2,6
2019-04-14,5.9,4
2019-04-21,1.6,8
2019-04-28,6.8,4
2019-05-05,4.3,16
2019-05-12,6.3,6
2019-05-19,3.8,6
2019-05-26,0.6,7
2019-06-02,1,6
2019-06-09,0.1,5
2019-06-16,0.1,6
2019-06-23,0.2,6
2019-06-30,0.3,6
2019-07-07,2.5,7
2019-07-14,0.5,5
2019-07-21,0.5,11
2019-07-28,2.9,5
2019-08-04,8.1,4
2019-08-11,7.4,6
2019-08-18,3.6,5
2019-08-25,9.7,4
2019-09-01,5.3,5
2019-09-08,12.8,5
2019-09-15,24.9,5
2019-09-22,11,5
2019-09-29,12.3,5
2019-10-06,20.7,5
2019-10-13,32.3,6
2019-10-20,37.2,5
2019-10-27,20.6,4
2019-11-03,31.5,5
2019-11-10,15.6,4
2019-11-17,20,3
2019-11-24,34.7,4
2019-12-01,17.2,7
2019-12-08,7.6,4
2019-12-15,30.1,9
2019-12-22,24.4,5
2019-12-29,20,5
2020-01-05,18.2,6
2020-01-12,17.6,6
2020-01-19,13.2,5
2020-01-26,24.9,4
2020-02-02,21.5,5
2020-02-09,14.4,5
2020-02-16,18.7,4
2020-02-23,12.5,4
2020-03-01,7.5,4
2020-03-08,12.2,6
2020-03-15,11.8,5
2020-03-22,11.5,4
2020-03-29,3.4,4
2020-04-05,4.4,4
2020-04-12,5.9,4
2020-04-19,5.7,4
2020-04-26,1.6,4
2020-05-03,2.9,5
2020-05-10,2,4
2020-05-17,1.4,3
2020-05-24,0.5,4
2020-05-31,2.9,4
2020-06-07,0,4
2020-06-14,0,4
2020-06-21,0,3
2020-06-28,0,4
2020-07-05,1.1,4
2020-07-12,0.4,3
2020-07-19,0.8,5
2020-07-26,0.7,4
2020-08-02,1.4,4
2020-08-09,1.9,3
2020-08-16,0,4
2020-08-23,5.7,5
2020-08-30,3.3,5
2020-09-06,9.7,6
2020-09-13,14.5,4
2020-09-20,13.5,4
2020-09-27,5.4,5
2020-10-04,8.5,4
2020-10-11,14.7,5
2020-10-18,35.8,8
2020-10-25,25.7,6
2020-11-01,10.4,3
2020-11-08,16.5,6
2020-11-15,21,4
2020-11-22,17.3,5
2020-11-29,9.8,6
2020-12-06,17.7,4
2020-12-13,9,6
2020-12-20,23,4
2020-12-27,25.5,5
2021-01-03,18.5,4
2021-01-10,17.8,4
2021-01-17,27.5,5
2021-01-24,5.6,6
2021-01-31,6.1,4
2021-02-07,15.1,10
2021-02-14,22.3,5
2021-02-21,11.5,6
2021-02-28,12.3,5
2021-03-07,26.3,6
2021-03-14,13.5,4
2021-03-21,4.8,6
2021-03-28,8.2,6
2021-04-04,11.2,6
2021-04-11,16.1,5
2021-04-18,3.9,6
2021-04-25,7.5,5
2021-05-02,1.4,5
2021-05-09,4.5,5
2021-05-16,1.5,4
2021-05-23,0.8,5
2021-05-30,0,10
2021-06-06,0.1,4
2021-06-13,0.4,6
2021-06-20,0.3,7
2021-06-27,1.5,5
2021-07-04,0.7,5
2021-07-11,0,4
2021-07-18,0,4
2021-07-25,0,6
2021-08-01,2.3,6
2021-08-08,1.3,5
2021-08-15,2.2,4
2021-08-22,5.6,6
2021-08-29,7.9,5
2021-09-05,6.2,4
2021-09-12,12.7,7
2021-09-19,12.1,5
2021-09-26,14.7,5
2021-10-03,7.8,5
2021-10-10,22.1,7
2021-10-17,9,9
2021-10-24,3.9,4
2021-10-31,23.4,5
2021-11-07,17.2,4
2021-11-14,21.9,6
2021-11-21,3.4,4
2021-11-28,19.1,8
2021-12-05,13.1,8
2021-12-12,7,5
2021-12-19,7.7,4
2021-12-26,16.8,5
2022-01-02,16.2,6
2022-01-09,12.8,6
2022-01-16,8.7,6
2022-01-23,14.2,7
2022-01-30,15.4,7
2022-02-06,16.6,4
2022-02-13,17,12
2022-02-20,18.6,5
2022-02-27,11.9,15
2022-03-06,11.1,23
2022-03-13,7.4,5
2022-03-20,6,6
2022-03-27,8.4,6
