,Name,Full Name,TEM,Type,Energy Flow
0,J_MV_Incomer_1,JB1_TEM1.J_MV_Incomer_1#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
1,J_MV_Incomer_2,JB1_TEM1.J_MV_Incomer_2#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
2,J_TEM_1_DB_CC_A_TCP,JB1_TEM1.J_TEM_1_DB_CC_A_TCP#Real Energy Into the Load#kWh,TEM1,Mains,Incoming
3,J_TEM_1_GeneratorAController,JB1_TEM1.J_TEM_1_GeneratorAController#Real Energy Into the Load#kWh,TEM1,Generator,Incoming
4,J_TEM_1_GeneratorBController,JB1_TEM1.J_TEM_1_GeneratorBController#Real Energy Into the Load#kWh,TEM1,Generator,Incoming
5,J_TEM_1_HVACAEBO,JB1_TEM1.J_TEM_1_HVACAEBO#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
6,J_TEM_1_HVACBEBO,JB1_TEM1.J_TEM_1_HVACBEBO#Real Energy Into the Load#kWh,TEM1,HVAC,Outgoing
7,J_TEM_1_UPS_A_Mainswitch,JB1_TEM1.J_TEM_1_UPS_A_Mainswitch#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
8,J_TEM_1_UPS_B_Mainswitch,JB1_TEM1.J_TEM_1_UPS_B_Mainswitch#Real Energy Into the Load#kWh,TEM1,UPS,Outgoing
9,J_TEM_2_HVAC_A_Total_Load,JB1_TEM2.J_TEM_2_HVAC_A_Total_Load#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
10,J_TEM_2_HVAC_B_Total_Load,JB1_TEM2.J_TEM_2_HVAC_B_Total_Load#Real Energy Into the Load#kWh,TEM2,HVAC,Outgoing
11,J_TEM_2_Main_Incomer_LSVP,JB1_TEM2.J_TEM_2_Main_Incomer_LSVP#Real Energy Into the Load#kWh,TEM2,Mains,Incoming
12,J_TEM_2_MLV_A_Load,JB1_TEM2.J_TEM_2_MLV_A_Load#Real Energy Into the Load#kWh,TEM2,Mains,Incoming
13,J_TEM_2_MLV_B_Load,JB1_TEM2.J_TEM_2_MLV_B_Load#Real Energy Into the Load#kWh,TEM2,Mains,Incoming
14,J_TEM_2_Rectifier_A_Total_Load,JB1_TEM2.J_TEM_2_Rectifier_A_Total_Load#Real Energy Into the Load#kWh,TEM2,Mains,Incoming
15,J_TEM_2_Rectifier_B_Total_Load,JB1_TEM2.J_TEM_2_Rectifier_B_Total_Load#Real Energy Into the Load#kWh,TEM2,Mains,Incoming
16,J_TEM_2_UPS_A_Total_Load,JB1_TEM2.J_TEM_2_UPS_A_Total_Load#Real Energy Into the Load#kWh,TEM2,UPS,Outgoing
17,J_TEM_2_UPS_B_Total_Load,JB1_TEM2.J_TEM_2_UPS_B_Total_Load#Real Energy Into the Load#kWh,TEM2,UPS,Outgoing
18,J_TEM2_Generator_A_Supply,JB1_TEM2.J_TEM2_Generator_A_Supply#Real Energy Into the Load#kWh,TEM2,Generator,Incoming
19,J_TEM2_Generator_B_Supply,JB1_TEM2.J_TEM2_Generator_B_Supply#Real Energy Into the Load#kWh,TEM2,Generator,Incoming
