;Name;Full Name;TEM;Type;Energy Flow
0;J_TEM_1_DB_AC1_Mainswitch;JB1_TEM1.J_TEM_1_DB_AC1_Mainswitch#Real Energy Into the Load#kWh;TEM1;HVAC;Outgoing
1;J_TEM_1_DB_AC2_Mainswitch;JB1_TEM1.J_TEM_1_DB_AC2_Mainswitch#Real Energy Into the Load#kWh;TEM1;HVAC;Outgoing
2;J_TEM_1_DB_CC_A_TCP;JB1_TEM1.J_TEM_1_DB_CC_A_TCP#Real Energy Into the Load#kWh;TEM1;Mains;Incoming
3;J_TEM_1_GeneratorAController;JB1_TEM1.J_TEM_1_GeneratorAController#Real Energy Into the Load#kWh;TEM1;Generator;Incoming
4;J_TEM_1_GeneratorBController;JB1_TEM1.J_TEM_1_GeneratorBController#Real Energy Into the Load#kWh;TEM1;Generator;Incoming
5;J_TEM_1_UPS_A_Mainswitch;JB1_TEM1.J_TEM_1_UPS_A_Mainswitch#Real Energy Into the Load#kWh;TEM1;UPS;Outgoing
6;J_TEM_1_UPS_B_Mainswitch;JB1_TEM1.J_TEM_1_UPS_B_Mainswitch#Real Energy Into the Load#kWh;TEM1;UPS;Outgoing
7;J_TEM_2_HVAC_A_Total_Load;JB1_TEM2.J_TEM_2_HVAC_A_Total_Load#Real Energy Into the Load#kWh;TEM2;HVAC;Outgoing
8;J_TEM_2_HVAC_B_Total_Load;JB1_TEM2.J_TEM_2_HVAC_B_Total_Load#Real Energy Into the Load#kWh;TEM2;HVAC;Outgoing
9;J_TEM_2_Main_Incomer_LSVP;JB1_TEM2.J_TEM_2_Main_Incomer_LSVP#Real Energy Into the Load#kWh;TEM2;Mains;Incoming
10;J_TEM_2_UPS_A_Total_Load;JB1_TEM2.J_TEM_2_UPS_A_Total_Load#Real Energy Into the Load#kWh;TEM2;UPS;Outgoing
11;J_TEM_2_UPS_B_Total_Load;JB1_TEM2.J_TEM_2_UPS_B_Total_Load#Real Energy Into the Load#kWh;TEM2;UPS;Outgoing
12;J_TEM2_Generator_A_Supply;JB1_TEM2.J_TEM2_Generator_A_Supply#Real Energy Into the Load#kWh;TEM2;Generator;Incoming
13;J_TEM2_Generator_B_Supply;JB1_TEM2.J_TEM2_Generator_B_Supply#Real Energy Into the Load#kWh;TEM2;Generator;Incoming
14;J_TEM_3_Gen_A_Supply;JB1_TEM3.J_TEM_3_Gen_A_Supply#Real Energy Into the Load#kWh;TEM3;Generator;Incoming
15;J_TEM_3_Gen_B_Supply;JB1_TEM3.J_TEM_3_Gen_B_Supply#Real Energy Into the Load#kWh;TEM3;Generator;Incoming
16;J_TEM_3_Total_Load_HVAC_A_Supply;JB1_TEM3.J_TEM_3_Total_Load_HVAC_A_Supply#Real Energy Into the Load#kWh;TEM3;HVAC;Outgoing
17;J_TEM_3_Total_Load_HVAC_B_Supply;JB1_TEM3.J_TEM_3_Total_Load_HVAC_B_Supply#Real Energy Into the Load#kWh;TEM3;HVAC;Outgoing
18;J_TEM_3_Total_Load_TEM_3_UPS_A3;JB1_TEM3.J_TEM_3_Total_Load_TEM_3_UPS_A3#Real Energy Into the Load#kWh;TEM3;HVAC;Outgoing
19;J_TEM_3_Total_Load_TEM_3_UPS_B3;JB1_TEM3.J_TEM_3_Total_Load_TEM_3_UPS_B3#Real Energy Into the Load#kWh;TEM3;HVAC;Outgoing
20;J_TEM_3_Total_Load_LSVP;JB1_TEM3.J_TEM_3_Total_Load_LSVP#Real Energy Into the Load#kWh;TEM3;Mains;Incoming
21;J_TEM_3_Total_Load_TEM_3_MLV_A_UPS;JB1_TEM3.J_TEM_3_Total_Load_TEM_3_MLV_A_UPS#Real Energy Into the Load#kWh;TEM3;UPS;Outgoing
22;J_TEM_3_Total_Load_TEM_3_MLV_B_UPS;JB1_TEM3.J_TEM_3_Total_Load_TEM_3_MLV_B_UPS#Real Energy Into the Load#kWh;TEM3;UPS;Outgoing
