Timestamp;C_TEM2.TEM2A_GenController#Real Energy Into the Load#kWh;C_TEM2.TEM2B_GenController#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_CCL_UPS_System_A#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_CCL_UPS_System_B#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_CCL_UPS_System_C#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_Generator_A_Supply#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_Generator_B_Supply#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_Generator_C_Supply#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_HVAC_System_A#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_HVAC_System_B#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_HVAC_System_C#Real Energy Into the Load#kWh;CT1_TEM1.C1_TEM1_Main_Incomer_HT#Real Energy Into the Load#kWh;CT1_TEM1_Old.C_DC_1_UPS_A_Output#Real Energy Into the Load#kWh;CT1_TEM1_Old.C_DC_1_UPS_B_Output#Real Energy Into the Load#kWh;CT1_TEM1_Old.C_TEM_1_MDB_Generator_8240#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_DB_UPS_A3#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_DB_UPS_B3#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_HVAC_A_Supply#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_HVAC_B_Supply#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_MLV_A#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_MLV_A_UPS#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_MLV_B#Real Energy Into the Load#kWh;CT1_TEM2.C_TEM_2_MLV_B_Supply#Real Energy Into the Load#kWh
2021/12/01 00:15;172824,7;148764,5;718606,6875;361951,5;826961,1875;20767,80664;20953,12305;23906,13867;523419,397;652527,526;355587,165;3549382,75;;;;3831705,265;2702950,112;3810509,138;2245418,913;22141907,96;;15832525,02;15556106,58
2021/12/01 00:30;172824,7;148764,5;718645,6875;361980,4063;827004,125;20767,80664;20953,12305;23906,13867;523448,073;652572,903;355614,694;3549602,5;;;;3831731,707;2702957,659;3810542,447;2245435,644;22142091,67;415860,451;15832634,33;15556218,22
2021/12/01 00:45;172824,7;148764,5;718684,625;362009,3125;827046,9375;20767,80664;20953,12305;23906,13867;523475,577;652616,199;355642,076;3549820,5;;;;3831757,332;2702965,029;3810576,76;2245451,22;22142271,79;;15832745,45;15556327,74
2021/12/01 01:00;172824,7;148764,5;718723,4375;362038,2188;827089,625;20767,80664;20953,12305;23906,13867;523503,915;652660,932;355669,275;3550038,75;;;;3831783,263;2702972,247;3810610,307;2245467,147;22142450,8;415863,506;15832852,5;15556435,86
2021/12/01 01:15;172824,7;148764,5;718762,25;362067,2188;827132,25;20767,80664;20953,12305;23906,13867;523530,699;652704,618;355695,085;3550253,5;;;;3831809,365;2702979,709;3810648,473;2245482,452;22142631,41;;15832963,66;15556545,3
2021/12/01 01:30;172824,7;148764,5;718801;362096,25;827174,6875;20767,80664;20953,12305;23906,13867;523557,963;652749,477;355721,383;3550470,5;;;;3831839,03;2702987,329;3810681,117;2245497,409;22142831,64;415866,6;15833074,63;15556656,39
2021/12/01 01:45;172824,7;148764,5;718839,75;362125,2813;827217;20767,80664;20953,12305;23906,13867;523584,661;652793,112;355747,429;3550684,75;;;;3831864,43;2702994,914;3810713,664;2245511,877;22143010,02;;15833184,78;15556780,44
2021/12/01 02:00;172824,7;148764,5;718878,4375;362154,3125;827259,3125;20767,80664;20953,12305;23906,13867;523610,521;652836,659;355774,009;3550898,5;;;;3831890,126;2703003,266;3810750,238;2245528,215;22143189,7;415869,779;15833294,36;15556883,73
2021/12/01 02:15;172824,7;148764,5;718917,125;362183,375;827301,5625;20767,80664;20953,12305;23906,13867;523637,873;652879,63;355801,153;3551113,75;;;;3831915,805;2703009,719;3810783,61;2245541,215;22143368,72;;15833409,09;15556993,12
2021/12/01 02:30;172824,7;148764,5;718955,75;362212,4063;827343,75;20767,80664;20953,12305;23906,13867;523665,391;652924,56;355828,526;3551331,5;;;;3831942,297;2703018,223;3810818,745;2245558,206;22143549,36;415872,948;15833517,6;15557103,89
