Timestamp;JB1_TEM1.J_MV_Incomer_1#Real Energy Into the Load#kWh;JB1_TEM1.J_MV_Incomer_2#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_DB_CC_A_TCP#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_GeneratorAController#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_GeneratorBController#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_HVACAEBO#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_HVACBEBO#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_UPS_A_Mainswitch#Real Energy Into the Load#kWh;JB1_TEM1.J_TEM_1_UPS_B_Mainswitch#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_HVAC_A_Total_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_HVAC_B_Total_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_Main_Incomer_LSVP#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_MLV_A_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_MLV_B_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_Rectifier_A_Total_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_Rectifier_B_Total_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_UPS_A_Total_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM_2_UPS_B_Total_Load#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM2_Generator_A_Supply#Real Energy Into the Load#kWh;JB1_TEM2.J_TEM2_Generator_B_Supply#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Gen_A_Supply#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Gen_B_Supply#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_HVAC_A_Supply#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_HVAC_B_Supply#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_LSVP#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_TEM_3_MLV_A_UPS#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_TEM_3_MLV_B_UPS#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_TEM_3_UPS_A3#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Total_Load_TEM_3_UPS_B3#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Utility_Supply_To_EC_A#Real Energy Into the Load#kWh;JB1_TEM3.J_TEM_3_Utility_Supply_To_EC_B#Real Energy Into the Load#kWh
2021/12/01 00:15;32036526;28905160;33700264;;;11777592;10141359;18568284;17001602;8981745,439;9628374,46;30201454;36348054,24;33702011,81;505054,163;59352,824;23993162,55;21937123,03;203737,8;209399,552;82819,641;79590,833;6886300,5;5028572,686;30927372;15995134,32;14227318,22;4188793,271;3242619,349;29570098,65;24114896,11
2021/12/01 00:30;32037136;28905474;33700572;;;11777673;10141439;18568358;17001670;8981775,654;9628410,358;30201742;36348194,3;33702170,14;505056,022;59353,009;23993251,48;21937229,6;203737,8;209399,552;82819,641;79590,833;6886332,5;5028605,13;30927660;15995223,03;14227409,07;4188808,32;3242642,313;29570246,86;24115040,94
2021/12/01 00:45;32037746;28905784;33700884;;;11777673;10141439;18568430;17001714;8981805,012;9628447,361;30202030;36348337,81;33702313,61;505057,869;59353,196;23993365,26;21937321,44;203737,8;209399,552;82819,641;79590,833;6886363,5;5028635,686;30927946;15995310,69;14227478,43;4188822,851;3242665,757;29570374,89;24115180,45
2021/12/01 01:00;32038348;28906094;33701192;;;11777754;10141517;18568498;17001784;8981837,175;9628482,073;30202314;36348473,36;33702449,85;505059,68;59353,392;23993466,61;21937417,85;203737,8;209399,552;82819,641;79590,833;6886394,5;5028665,514;30928230;15995400,12;14227557,9;4188837,905;3242688,896;29570534,24;24115319,01
2021/12/01 01:15;32038946;28906400;33701496;;;11777754;10141517;18568570;17001854;8981864,36;9628515,02;30202596;36348615,55;33702581,76;505061,662;59353,579;23993567,18;21937512,17;203737,8;209399,552;82819,641;79590,833;6886424,5;5028693,897;30928512;15995495,27;14227637,31;4188852,949;3242712,93;29570673,94;24115457,74
2021/12/01 01:30;32039550;28906706;33701804;;;11777835;10141594;18568638;17001920;8981892,255;9628549,757;30202880;36348772,85;33702720,7;505063,496;59353,766;23993669,59;21937608,46;203737,8;209399,552;82819,641;79590,833;6886444;5028718,955;30928792;15995583,57;14227724,56;4188869,876;3242735,542;29570820,72;24115608,71
2021/12/01 01:45;32040152;28907012;33702112;;;11777835;10141594;18568706;17001990;8981919,096;9628582,62;30203162;36348910,7;33702860,15;505065,343;59353,982;23993768,13;21937705,46;203737,8;209399,552;82819,641;79590,833;6886474,5;5028746,497;30929074;15995686,11;14227803,35;4188885,203;3242761,346;29570964,75;24115741,33
2021/12/01 02:00;32040746;28907316;33702416;;;11777915;10141671;18568778;17002056;8981947,862;9628620,786;30203444;36349051,34;33703000,24;505067,138;59354,168;23993868,53;21937809,03;203737,8;209399,552;82819,641;79590,833;6886503,5;5028775,819;30929352;15995779,31;14227882,34;4188900,913;3242784,536;29571108,37;24115874,13
2021/12/01 02:15;32041352;28907620;33702724;;;11777915;10141671;18568846;17002126;8981974,755;9628653,427;30203730;36349190,3;33703142,82;505068,967;59354,353;23993967,81;21937907,8;203737,8;209399,552;82819,641;79590,833;6886532,5;5028801,527;30929630;15995869,89;14227960,99;4188915,671;3242806,535;29571248,15;24116006,93
2021/12/01 02:30;32041954;28907926;33703032;;;11777997;10141748;18568918;17002194;8982003,945;9628689,351;30204014;36349336,01;33703285,91;505070,764;59354,544;23994069,53;21938002,62;203737,8;209399,552;82819,641;79590,833;6886562;5028828,854;30929910;15995958,67;14228038,64;4188931,233;3242829,318;29571392,98;24116138,5
2021/12/01 02:45;32042558;28908232;33703340;;;11777997;10141748;18568986;17002262;8982034,666;9628723,833;30204300;36349481,22;33703426,11;505072,615;59354,729;23994170,43;21938095,77;203737,8;209399,552;82819,641;79590,833;6886590,5;5028857,504;30930190;15996049,32;14228118,18;4188946,796;3242851,325;29571529,89;24116291,38
2021/12/01 03:00;32043162;28908538;33703648;;;11778078;10141825;18569056;17002330;8982062,058;9628758,724;30204586;36349621,77;33703565,44;505074,421;59354,92;23994271,15;21938191,52;203737,8;209399,552;82819,641;79590,833;6886621;5028886,439;30930470;15996139,03;14228197,81;4188962,105;3242877,172;29571671,51;24116410,6
2021/12/01 03:15;32043768;28908842;33703952;;;11778078;10141825;18569126;17002398;8982089,682;9628799,057;30204870;36349765,24;33703723,1;505076,442;59355,107;23994369,81;21938288,59;203737,8;209399,552;82819,641;79590,833;6886650,5;5028910,939;30930750;15996227,99;14228274;4188977,334;3242899,449;29571815,8;24116566,82
2021/12/01 03:30;32044376;28909146;33704264;;;11778159;10141903;18569194;17002462;8982120,926;9628834,076;30205158;36349910,3;33703861,67;505078,21;59355,324;23994480,45;21938387,45;203737,8;209399,552;82819,641;79590,833;6886669,5;5028939,943;30931030;15996318,81;14228350,41;4188992,045;3242920,953;29571953,97;24116699,04
2021/12/01 03:45;32044980;28909454;33704568;;;11778159;10141903;18569264;17002530;8982156,905;9628868,833;30205444;36350053,8;33704003,42;505080,033;59355,507;23994577,45;21938483,15;203737,8;209399,552;82819,641;79590,833;6886698,5;5028971,919;30931312;15996419,88;14228426,21;4189006,893;3242943,345;29572097,15;24116837,76
