Timestamp;JB1_TEM4.J_TEM_4_Generator_A_Supply#Real Energy Into the Load#kWh;JB1_TEM4.J_TEM_4_Generator_B_Supply#Real Energy Into the Load#kWh;JB1_TEM4.J_TEM_4_Main_Incomer_8420#Real Energy Into the Load#kWh;JB1_TEM4.J_TEM_4_Mechanical_UPS_A#Real Energy Into the Load#kWh;JB1_TEM4.J_TEM_4_Mechanical_UPS_B#Real Energy Into the Load#kWh;JB1_TEM4.J_TEM_4_MLV_A#Real Energy Into the Load#kWh;JB1_TEM4.J_TEM_4_MLV_B#Real Energy Into the Load#kWh;JB1_TEM4.J_TEM_4_UPS_System_A#Real Energy Into the Load#kWh;JB1_TEM4.J_TEM_4_UPS_System_B#Real Energy Into the Load#kWh;JB1_TEM4.JB1_TEM4_HVAC_System_A#Real Energy Into the Load#kWh;JB1_TEM4.JB1_TEM4_HVAC_System_B#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5_GCL_UPS_System_B#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5_GCL_UPS_System_C#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5_Gen_A_Supply#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5_Gen_B_Supply#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5_Gen_C_Supply#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5_HVAC_Ssystem_A#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5_HVAC_System_B#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5_HVAC_System_C#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5_Main_Incomer_LSVP#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5_MLV_A#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5_MLV_B#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5_MLV_C#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5A_UPS_System_A#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5B_UPS_System_B#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM_5C_UPS_System_C#Real Energy Into the Load#kWh;JB1_TEM5.J_TEM5_GCL_UPS_System_A#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_Generator_A_Supply#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_Generator_B_Supply#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_Generator_C_Supply#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_HVAC_System_A#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_HVAC_System_B#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_HVAC_System_C#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_Main_Incomer_HT#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_Mechanical_UPS_A#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_Mechanical_UPS_B#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_Mechanical_UPS_C#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_MLV_A#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_MLV_B#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_MLV_C#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_UPS_System_A#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_UPS_System_B#Real Energy Into the Load#kWh;JB1_TEM6.J_TEM_6_UPS_System_C#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_CCL_UPS_A#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_CCL_UPS_B#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_CCL_UPS_C#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_GCL_UPS_A#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_GCL_UPS_B#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_GCL_UPS_C#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_Generator_A_Supply#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_Generator_B_Supply#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_Generator_C_Supply#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_HVAC_B#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_HVAC_C#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_Hvac_System_A#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_Main_Incomer_HT#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_MLV_A#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_MLV_B#Real Energy Into the Load#kWh;JB1_TEM7.J_TEM_7_MLV_C#Real Energy Into the Load#kWh
2021/12/01 00:15;47778,617;18103,585;23008510;2318949,091;2340768,849;14621454,18;13165323,69;9232372,643;8436877,211;1609075,627;1615564,771;1125000,59;661304,447;39268,20313;36357,82031;24459,70898;2351009,543;978930,246;1593072,994;27236130;11024122,03;9804545,334;9151251,444;5971288,5;6467117,5;5460121,5;1207223,039;16003,59473;17900,82227;17682,35156;953870,893;752101,582;1001043,433;15955569;429759,915;447127,153;407618,243;5585960,48;5672047,99;5867669,787;3375618,5;3559861,75;3489032,5;3669127,75;2824641,5;2885017;401966,384;382743,894;377552,168;16815,4082;15065,52734;17806,59375;896177,052;883283,637;672484,283;11670346;5174490,335;4593270,589;5323712,734
2021/12/01 00:30;47778,617;18103,585;23008774;2318967,382;2340787,346;14621585,74;13165440,03;9232458,88;8436951,503;1609093,172;1615583,305;1125009,614;661314,076;39268,20313;36357,82031;24459,70898;2351041,168;978932,572;1593107,846;27236500;11024255,77;9804650,067;9151381,951;5971372,5;6467205,5;5460202;1207235,892;16003,59473;17900,82227;17682,35156;953888,178;752119,713;1001045,301;15955796;429765,682;447131,96;407621,527;5586039,19;5672130,137;5867732,092;3375670;3559916,75;3489086,25;3669205,75;2824711,5;2885088,5;401974,193;382751,999;377556,84;16815,4082;15065,52734;17806,59375;896210,825;883285,811;672500,643;11670661;5174597,241;4593387,68;5323796,711
2021/12/01 00:45;47778,617;18103,585;23009036;2318985,832;2340806,022;14621716,93;13165555,68;9232545,104;8437025,683;1609109,296;1615601,227;1125018,694;661323,7;39268,20313;36357,82031;24459,70898;2351072,466;978935,406;1593139,021;27236866;11024388,91;9804754,91;9151508,618;5971457;6467293;5460282;1207248,741;16003,59473;17900,82227;17682,35156;953904,077;752137,72;1001047,757;15956024;429771,406;447136,774;407624,826;5586116,528;5672212,39;5867795,912;3375721;3559971,75;3489139,75;3669283,25;2824781,5;2885160;401981,91;382760,004;377561,36;16815,4082;15065,52734;17806,59375;896243,663;883287,956;672516,906;11670971;5174704,204;4593502,762;5323879,37
2021/12/01 01:00;47778,617;18103,585;23009294;2319004,539;2340824,747;14621847,28;13165671,87;9232631,343;8437099,798;1609124,943;1615615,147;1125027,878;661333,037;39268,20313;36357,82031;24459,70898;2351103,356;978939,051;1593160,766;27237222;11024521,69;9804860,69;9151625,416;5971541;6467381;5460362,5;1207261,291;16003,59473;17900,82227;17682,35156;953919,701;752155,145;1001049,509;15956249;429776,797;447141,466;407627,96;5586193,12;5672293,664;5867858,974;3375772,25;3560026,75;3489193,5;3669360,75;2824851,5;2885231,25;401989,109;382767,473;377565,306;16815,4082;15065,52734;17806,59375;896275,449;883290,069;672532,995;11671281;5174810,486;4593617,072;5323962,411
2021/12/01 01:15;47778,617;18103,585;23009552;2319023,148;2340843,311;14621979,25;13165788,64;9232717,469;8437174,053;1609139,366;1615630,456;1125036,839;661342,654;39268,20313;36357,82031;24459,70898;2351133,368;978941,841;1593182,879;27237578;11024654,53;9804965,728;9151742,692;5971625,5;6467468,5;5460442,5;1207274,064;16003,59473;17900,82227;17682,35156;953933,024;752167,626;1001054,9;15956467;429781,31;447145,247;407631,544;5586266,491;5672368,967;5867924,794;3375823,25;3560081,5;3489247;3669438,25;2824921,25;2885303;401996,091;382774,718;377569,069;16815,4082;15065,52734;17806,59375;896302,413;883292,088;672549,002;11671586;5174916,452;4593726,442;5324044,738
2021/12/01 01:30;47778,617;18103,585;23009802;2319041,755;2340862,27;14622110,31;13165905,51;9232803,699;8437248,107;1609151,862;1615640,756;1125045,836;661352,205;39268,20313;36357,82031;24459,70898;2351158,458;978944,509;1593205,038;27237930;11024782,22;9805070,326;9151860,27;5971710;6467556,5;5460523;1207286,776;16003,59473;17900,82227;17682,35156;953941,18;752181,253;1001071,403;15956695;429785,619;447148,875;407635,148;5586334,526;5672445,584;5868002,877;3375874,5;3560136,25;3489300,75;3669515,75;2824991,25;2885374,5;402003,119;382781,993;377572,896;16815,4082;15065,52734;17806,59375;896325,611;883294,122;672565,026;11671887;5175022,259;4593831,97;5324127,483
2021/12/01 01:45;47778,617;18103,585;23010052;2319060,172;2340881,027;14622242,03;13166022,94;9232889,82;8437322,029;1609165,282;1615650,986;1125054,962;661361,746;39268,20313;36357,82031;24459,70898;2351179,949;978947,082;1593225,315;27238276;11024905,23;9805174,991;9151975,921;5971794,5;6467644,5;5460603,5;1207299,588;16003,59473;17900,82227;17682,35156;953948,18;752198,951;1001085,416;15956922;429789,988;447152,491;407638,776;5586401,308;5672525,852;5868078,487;3375925,5;3560191;3489354,25;3669593,25;2825061;2885446;402010,184;382789,322;377576,837;16815,4082;15065,52734;17806,59375;896347,06;883296,17;672580,973;11672184;5175127,997;4593934,448;5324209,629
2021/12/01 02:00;47778,617;18103,585;23010302;2319078,572;2340899,72;14622374,12;13166141,26;9232975,804;8437395,875;1609179,227;1615660,752;1125064,093;661371,278;39268,20313;36357,82031;24459,70898;2351203,536;978949,6;1593245,838;27238620;11025030,16;9805279,219;9152091,505;5971878;6467732;5460683,5;1207312,415;16003,59473;17900,82227;17682,35156;953956,475;752217,373;1001093,372;15957143;429794,614;447156,2;407642,483;5586468,649;5672606,694;5868146,802;3375976,25;3560245,75;3489407,5;3669670,5;2825130,25;2885517,25;402017,355;382796,778;377580,935;16815,4082;15065,52734;17806,59375;896369,836;883298,111;672598,06;11672482;5175233,551;4594039,138;5324292,128
2021/12/01 02:15;47778,617;18103,585;23010554;2319096,959;2340919;14622504,31;13166260,37;9233062,175;8437469,965;1609193,509;1615671,887;1125073,249;661380,834;39268,20313;36357,82031;24459,70898;2351228,459;978952,293;1593268,132;27238972;11025158,33;9805384,796;9152209,056;5971962,5;6467819,5;5460764;1207325,268;16003,59473;17900,82227;17682,35156;953964,275;752236,924;1001101,509;15957365;429799,181;447159,896;407646,124;5586535,181;5672688,829;5868216,312;3376027;3560300,25;3489460,75;3669747,75;2825200;2885588,75;402024,903;382804,597;377585,354;16815,4082;15065,52734;17806,59375;896394,309;883299,93;672614,402;11672783;5175339,744;4594145,838;5324374,938
2021/12/01 02:30;47778,617;18103,585;23010804;2319115,363;2340937,983;14622634,54;13166378,12;9233148,256;8437543,833;1609206,049;1615683,574;1125082,417;661390,435;39268,20313;36357,82031;24459,70898;2351265,333;978954,994;1593298,521;27239342;11025298,19;9805489,547;9152333,509;5972047;6467907;5460844,5;1207338,199;16003,59473;17900,82227;17682,35156;953969,227;752261,417;1001110,504;15957591;429804,041;447163,88;407649,665;5586599,506;5672776,184;5868286,636;3376077,75;3560355;3489514;3669825,25;2825269,5;2885660;402032,227;382812,203;377589,627;16815,4082;15065,52734;17806,59375;896420,521;883301,461;672636,281;11673091;5175451,658;4594253,825;5324457,088
