Timestamp;JB3_TEM_14_A.J3_TEM_14_A_Main_Incomer#Real Energy Into the Load#kWh;JB3_TEM_14_A.J3_TEM_14_CCL_UPS_A#Real Energy Into the Load#kWh;JB3_TEM_14_A.J3_TEM_14_HVAC_System_A#Real Energy Into the Load#kWh;JB3_TEM_14_B.J3_TEM_14_B_Main_Incomer#Real Energy Into the Load#kWh;JB3_TEM_14_B.J3_TEM_14_CCL_UPS_B#Real Energy Into the Load#kWh;JB3_TEM_14_B.J3_TEM_14_HVAC_System_B#Real Energy Into the Load#kWh;JB3_TEM_14_C.J3_TEM_14_C_Main_Incomer#Real Energy Into the Load#kWh;JB3_TEM_14_C.J3_TEM_14_CCL_UPS_C#Real Energy Into the Load#kWh;JB3_TEM_14_C.J3_TEM_14_HVAC_System_C#Real Energy Into the Load#kWh;JB3_TEM_14_D.J3_TEM_14_CCL_UPS_D#Real Energy Into the Load#kWh;JB3_TEM_14_D.J3_TEM_14_D_Main_Incomer#Real Energy Into the Load#kWh;JB3_TEM_14_D.J3_TEM_14_HVAC_System_D#Real Energy Into the Load#kWh;JB3_TEM_14_E.J3_TEM_14_CCL_UPS_E#Real Energy Into the Load#kWh;JB3_TEM_14_E.J3_TEM_14_E_Main_Incomer#Real Energy Into the Load#kWh;JB3_TEM_14_E.J3_TEM_14_HVAC_System_E#Real Energy Into the Load#kWh;JB3_TEM12_A.J3_TEM_12_A_Main_Incomer#Real Energy Into the Load#kWh;JB3_TEM12_A.J3_TEM_12_CCL_UPS_A#Real Energy Into the Load#kWh;JB3_TEM12_A.J3_TEM_12_HVAC_System_A#Real Energy Into the Load#kWh;JB3_TEM12_B.J3_TEM_12_B_Main_Incomer_HT#Real Energy Into the Load#kWh;JB3_TEM12_B.J3_TEM_12_CCL_UPS_B#Real Energy Into the Load#kWh;JB3_TEM12_B.J3_TEM_12_HVAC_System_B#Real Energy Into the Load#kWh;JB3_TEM12_C.J3_TEM_12_C_Main_Incomer#Real Energy Into the Load#kWh;JB3_TEM12_C.J3_TEM_12_CCL_UPS_C#Real Energy Into the Load#kWh;JB3_TEM12_C.J3_TEM_12_HVAC_System_C#Real Energy Into the Load#kWh;JB3_TEM12_D.J3_TEM_12_CCL_UPS_D#Real Energy Into the Load#kWh;JB3_TEM12_D.J3_TEM_12_D_Main_Incomer#Real Energy Into the Load#kWh;JB3_TEM12_D.J3_TEM_12_HVAC_System_D#Real Energy Into the Load#kWh;JB3_TEM12_E.J3_TEM_12_CCL_UPS_E#Real Energy Into the Load#kWh;JB3_TEM12_E.J3_TEM_12_E_Main_Incomer#Real Energy Into the Load#kWh;JB3_TEM12_E.J3_TEM_12_HVAC_System_E#Real Energy Into the Load#kWh
2021/03/09 09:45;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;
2021/03/09 10:15;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;
2021/03/09 11:00;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;
2021/03/09 13:00;;;;;;;;;;;;;;;;;;0,263;;;;;;;;;;;;
2021/03/09 13:15;;;;;;;;;;;;;;;;;;0,263;;;;;;;;;;;;
2021/03/24 14:45;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
2021/04/01 11:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
2021/04/01 13:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,003
2021/04/06 08:00;;;;;;;;;;;;;;;;;;;;;;;;;;;0,009;;;
2021/04/06 08:15;;;;;;;;;;;;;;;;;;;;;;;;;;;0,02;;;
2021/04/12 13:30;;;;;;;;;;;;;;;;;;0,263;;;;;;;;;;;;
2021/04/12 13:45;;;;;;;;;;;;;;;;;;0,263;;;;;;;;;;;;
2021/04/12 16:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
2021/04/12 17:00;;;;;;;;;;;;;;;;;;;;;;;;;;;0,027;;;
2021/04/14 10:00;;;;;;;;;;;;;;;;;;0,313;;;;;;;;;;;;
2021/04/14 10:30;;;;;;;;;;;;;;;;;;;;;;;;0,064;;;;;;
2021/05/05 09:22;;;;;;;;;;;;;;;;;;0,313;;;;;;;;;;;;
2021/05/05 09:30;;;;;;;;;;;;;;;;;;0,313;;;;;;;;;;;;
2021/05/11 09:15;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;
2021/05/11 09:30;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;
2021/05/11 15:00;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
2021/05/12 11:30;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021/05/12 11:45;;;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021/05/12 14:00;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;
2021/05/12 14:07;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;
2021/05/13 09:00;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
2021/05/13 09:45;;;;;;0,002;;;;;;;;;;;;;;;;;;;;;;;;
2021/05/21 11:00;;;;;;0,007;;;;;;;;;;;;;;;;;;;;;;;;
2021/05/21 13:30;;;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021/05/24 07:45;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;
2021/06/02 10:00;;;;;;;;;;;;;0,006299841;;0,01;;;;;;;;;;;;;;;
